('Ada-Idaho', 'CO', [87.0, 56.0, 86.0, 44.0, 65.0, 36.0, 38.0, 42.0, 38.0, 30.0, 28.0, 24.0, 19.0, 33.0, 43.0, 64.0, 50.0, 40.0, 19.0, 24.0, 30.0])
('Adams-Colorado', 'CO', [63.0, 44.0, 56.0, 42.0, 49.0, 34.0, 39.0, 32.0, 41.0, 33.0, 28.0, 30.0, 26.0, 35.0, 23.0, 20.0, 23.0, 19.0, 24.0, 20.0, 23.0])
('Alexandria City-Virginia', 'CO', [49.0, 50.0, 42.0, 40.0, 45.0, 35.0, 30.0, 30.0, 34.0, 23.0, 19.0, 22.0, 18.0, 15.0, 16.0, 20.0, 16.0, 18.0, 47.0, 17.0, 30.0])
('Allegheny-Pennsylvania', 'CO', [66.0, 57.0, 44.0, 55.0, 47.0, 40.0, 39.0, 33.0, 40.0, 28.0, 26.0, 24.0, 42.0, 19.0, 17.0, 32.0, 30.0, 31.0, 18.0, 20.0, 34.0])
('Anchorage -Alaska', 'CO', [98.0, 126.0, 79.0, 101.0, 111.0, 78.0, 106.0, 71.0, 89.0, 87.0, 63.0, 71.0, 61.0, 70.0, 67.0, 75.0, 50.0, 72.0, 51.0, 38.0, 32.0])
('Bernalillo-New Mexico', 'CO', [97.0, 89.0, 75.0, 69.0, 56.0, 49.0, 49.0, 45.0, 42.0, 47.0, 49.0, 34.0, 41.0, 47.0, 28.0, 35.0, 25.0, 31.0, 13.0, 15.0, 16.0])
('Bronx-New York', 'CO', [42.0, 43.0, 52.0, 36.0, 52.0, 55.0, 42.0, 33.0, 25.0, 23.0, 28.0, 22.0, 23.0, 20.0, 28.0, 18.0, 32.0, 18.0, 17.0, 17.0, 18.0])
('Brooke-West Virginia', 'CO', [116.0, 42.0, 42.0, 54.0, 52.0, 87.0, 44.0, 60.0, 65.0, 42.0, 34.0, 91.0, 28.0, 33.0, 9.0, 9.0, 13.0, 9.0, 8.0, 9.0, 9.0])
('Broward-Florida', 'CO', [87.0, 58.0, 75.0, 44.0, 62.0, 47.0, 55.0, 63.0, 45.0, 45.0, 45.0, 32.0, 26.0, 28.0, 23.0, 20.0, 17.0, 30.0, 16.0, 30.0, 14.0])
('Butte-California', 'CO', [54.0, 67.0, 57.0, 51.0, 60.0, 45.0, 49.0, 40.0, 28.0, 33.0, 31.0, 31.0, 25.0, 31.0, 27.0, 20.0, 24.0, 19.0, 17.0, 23.0, 15.0])
('Camden-New Jersey', 'CO', [47.0, 66.0, 40.0, 38.0, 44.0, 51.0, 56.0, 31.0, 20.0, 38.0, 38.0, 25.0, 24.0, 50.0, 5.0, 6.0, 5.0, 19.0, 16.0, 17.0, 19.0])
('Cameron-Texas', 'CO', [31.0, 26.0, 41.0, 38.0, 31.0, 20.0, 19.0, 28.0, 24.0, 32.0, 25.0, 15.0, 13.0, 14.0, 13.0, 9.0, 13.0, 8.0, 11.0, 9.0, 13.0])
('Contra Costa-California', 'CO', [33.0, 33.0, 36.0, 43.0, 38.0, 31.0, 31.0, 28.0, 23.0, 23.0, 19.0, 22.0, 17.0, 16.0, 13.0, 11.0, 14.0, 10.0, 11.0, 13.0, 15.0])
('Cook-Illinois', 'CO', [57.0, 62.0, 60.0, 57.0, 57.0, 52.0, 53.0, 49.0, 40.0, 42.0, 33.0, 34.0, 22.0, 26.0, 32.0, 23.0, 23.0, 20.0, 8.0, 10.0, 9.0])
('Dakota-Minnesota', 'CO', [15.0, 16.0, 13.0, 14.0, 11.0, 18.0, 13.0, 11.0, 13.0, 9.0, 6.0, 9.0, 13.0, 5.0, 17.0, 19.0, 8.0, 13.0, 35.0, 11.0, 10.0])
