('Alamosa-Colorado', 'PM2.5', [38.0, 57.0, 58.0, 33.0, 52.0, 67.0, 64.0, 69.0, 62.0, 50.0, 54.0, 52.0, 33.0, 55.0, 33.0, 59.0, 531.0, 250.0, 146.0, 124.0, 87.0])
('Gila-Arizona', 'PM2.5', [55.0, 55.0, 46.0, 59.0, 54.0, 72.0, 72.0, 54.0, 76.0, 68.0, 78.0, 67.0, 55.0, 53.0, 38.0, 61.0, 68.0, 49.0, 52.0, 73.0, 24.0])
('Hancock-Maine', 'PM2.5', [95.0, 95.0, 79.0, 100.0, 126.0, 64.0, 95.0, 83.0, 106.0, 80.0, 89.0, 65.0, 75.0, 63.0, 74.0, 72.0, 23.0, 18.0, 18.0, 18.0, 21.0])
('Kern-California', 'PM2.5', [58.0, 75.0, 65.0, 188.0, 170.0, 176.0, 173.0, 168.0, 158.0, 159.0, 164.0, 175.0, 169.0, 161.0, 160.0, 158.0, 95.0, 73.0, 90.0, 307.0, 75.0])
('Lane-Oregon', 'PM2.5', [60.0, 70.0, 59.0, 85.0, 60.0, 43.0, 46.0, 141.0, 95.0, 87.0, 95.0, 98.0, 119.0, 88.0, 100.0, 89.0, 52.0, 43.0, 53.0, 47.0, 71.0])
('Larimer-Colorado', 'PM2.5', [35.0, 35.0, 26.0, 45.0, 29.0, 54.0, 41.0, 52.0, 48.0, 25.0, 36.0, 42.0, 51.0, 60.0, 85.0, 52.0, 49.0, 59.0, 72.0, 44.0, 45.0])
('Marin-California', 'PM2.5', [79.0, 64.0, 67.0, 65.0, 86.0, 54.0, 72.0, 84.0, 61.0, 77.0, 60.0, 64.0, 78.0, 68.0, 61.0, 66.0, 47.0, 33.0, 47.0, 36.0, 39.0])
('Miami-Dade-Florida', 'PM2.5', [111.0, 130.0, 98.0, 161.0, 154.0, 88.0, 73.0, 78.0, 72.0, 157.0, 160.0, 74.0, 100.0, 80.0, 76.0, 65.0, 38.0, 58.0, 58.0, 36.0, 53.0])
('Pitkin-Colorado', 'PM2.5', [29.0, 46.0, 26.0, 39.0, 55.0, 48.0, 66.0, 40.0, 33.0, 19.0, 28.0, 26.0, 38.0, 44.0, 53.0, 51.0, 47.0, 67.0, 56.0, 35.0, 53.0])
('Shasta-California', 'PM2.5', [40.0, 53.0, 43.0, 61.0, 147.0, 35.0, 62.0, 47.0, 44.0, 36.0, 35.0, 61.0, 75.0, 154.0, 83.0, 106.0, 39.0, 46.0, 42.0, 61.0, 68.0])
('Teton-Wyoming', 'PM2.5', [35.0, 63.0, 28.0, 42.0, 68.0, 57.0, 67.0, 42.0, 35.0, 33.0, 23.0, 76.0, 53.0, 77.0, 102.0, 35.0, 37.0, 66.0, 55.0, 54.0, 56.0])
('Utah-Utah', 'PM2.5', [77.0, 90.0, 43.0, 110.0, 59.0, 59.0, 162.0, 160.0, 134.0, 162.0, 137.0, 112.0, 158.0, 132.0, 152.0, 133.0, 59.0, 61.0, 98.0, 77.0, 120.0])
