State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,66.97291,62.60701,69.83078,61.47867,63.35939,64.09789,70.12885,69.65649,71.6216,67.53244,64.21551,66.18717,68.91489,73.04459,69.4277,67.7386
CA, Alpine County ,0,0,80.84074,162.206,0,82.03445,78.36991,0,0,167.08438,0,180.34265,0,262.92726,90.57971,0
CA, Amador County ,82.49652,81.23932,131.28744,113.53192,101.60428,99.89485,62.57659,87.72835,122.88224,122.91438,105.62729,119.92325,126.72221,106.6273,81.65709,102.63058
CA, Butte County ,93.22545,74.20233,90.85692,71.40121,76.50248,75.43585,82.55544,83.23025,80.35282,104.19653,89.09779,93.6419,80.47744,80.13831,83.04535,81.2427
CA, Calaveras County ,113.17505,92.00077,92.02454,89.13267,110.03818,88.30997,115.10479,92.9368,84.29698,82.78867,103.38305,90.897,80.42895,71.7859,71.76658,98.12667
CA, Colusa County ,58.45778,26.28535,57.19634,71.54538,24.7439,82.76534,19.14792,52.19454,33.12198,65.88235,74.60599,23.40167,65.6568,46.89992,28.22732,75.05395
CA, Contra Costa County ,83.64732,80.43652,81.44004,74.42804,73.15422,79.87884,82.63109,76.79715,79.34771,73.12914,76.83723,81.97905,78.09008,79.97953,80.70363,82.70783
CA, Del Norte County ,47.37609,58.62524,83.9508,39.85363,71.55635,74.2548,38.99188,87.9817,70.18529,73.42914,59.51964,87.82407,53.16886,53.88512,66.0502,69.59452
CA, El Dorado County ,84.62605,84.41909,88.3804,80.7932,82.14246,74.85586,74.67204,76.53607,76.47223,85.33984,96.60342,91.78218,88.06035,96.45753,91.24137,96.00833
CA, Fresno County ,54.2876,57.31709,56.88378,55.7134,48.43009,47.33687,51.25234,46.54366,54.52767,50.02832,55.76629,52.31282,57.45403,56.4082,59.18075,51.63918
CA, Glenn County ,68.14052,79.39509,67.53968,59.22416,92.17609,54.75851,47.01287,72.0072,71.38013,78.29181,49.80611,81.60079,75.16644,82.39298,42.88471,85.83384
CA, Humboldt County ,79.86589,77.63488,79.20485,79.38098,84.16092,65.40073,65.86269,79.54485,73.12091,63.55425,66.65087,61.37101,75.74464,66.14396,60.14926,79.77368
CA, Imperial County ,42.83407,50.7978,59.04971,40.27278,44.00397,37.79314,40.49718,39.49063,57.1711,59.88094,40.62924,41.42385,50.76514,51.35614,55.3487,52.83472
CA, Inyo County ,72.40323,110.39355,119.60422,59.16205,59.20982,97.41314,70.76756,81.40671,87.34578,140.20708,59.41771,103.24404,114.08083,92.30101,130.36393,98.62473
CA, Kern County ,52.57584,53.50486,49.27535,46.9009,48.75756,47.45467,45.88846,54.02842,50.83542,52.0396,47.88066,46.49882,49.77752,43.49566,51.25336,50.5971
CA, Kings County ,49.29333,48.16339,43.58457,42.32637,34.8187,41.3374,41.29658,37.8939,43.41334,34.80476,42.65988,36.20922,42.37232,45.18873,45.43359,43.90312
CA, Lake County ,109.33069,81.36967,82.9093,78.40502,63.37537,62.68512,73.20644,76.4705,77.6494,79.17656,94.21868,76.27409,82.88762,79.96739,76.44425,65.17084
CA, Lassen County ,23.7255,41.73125,41.87855,23.57795,29.02084,26.09603,28.89756,47.7327,42.58823,42.66212,40.186,43.74708,44.56063,31.11,31.53182,79.78808
CA, Los Angeles Registry ,58.53311,58.63266,59.25254,55.18501,56.61035,58.48949,56.57245,59.96685,61.41664,61.82439,60.44493,63.87233,63.00262,63.41212,61.63939,65.5739
CA, Madera County ,65.54087,54.94462,61.54134,57.25565,43.76176,52.73923,54.30923,47.2386,60.66366,56.28744,55.59269,51.32862,51.99181,63.23652,65.55419,59.62179
CA, Marin County ,102.21396,114.98148,105.59448,94.26494,93.9414,99.91564,108.75787,111.67603,105.47589,102.44676,98.04464,101.38693,93.72657,108.3147,103.64047,109.93894
CA, Mariposa County ,64.32372,116.9659,86.99182,124.24465,67.2495,94.59159,71.35408,92.56234,81.46861,71.38151,93.09967,71.4757,89.5957,140.87682,107.59995,102.54657
CA, Mendocino County ,96.05703,66.78873,81.26917,56.72793,80.65432,75.0162,81.28685,86.1366,85.74564,77.51761,84.27574,85.77114,70.93091,81.41548,60.60675,82.42419
CA, Merced County ,44.75685,46.1575,49.25649,39.70052,43.00531,47.41212,45.65131,48.68432,43.50637,42.80584,56.068,46.98126,47.81395,50.63561,38.84755,50.54268
CA, Modoc County ,42.52605,64.17112,149.5407,115.77729,41.64498,94.09305,41.59301,125.98425,83.76086,114.03691,103.14595,73.70749,85.76329,65.93407,66.59267,67.16669
CA, Mono County ,46.43603,52.93406,59.68368,44.93709,29.94012,51.95191,50.93502,80.42111,57.71173,57.11022,35.09757,62.46963,83.76963,64.19401,64.07974,21.60605
CA, Monterey County ,56.32894,60.92139,51.83666,56.37928,47.21932,57.51113,43.55065,57.65751,49.99729,57.28033,60.99684,56.98587,52.37213,59.10331,60.71151,61.11012
CA, Napa County ,96.33525,108.02883,86.21761,84.52566,81.29645,71.32941,94.33962,70.89898,77.55811,76.87759,73.82339,96.41873,89.9941,100.64096,89.30027,79.65937
CA, Nevada County ,122.13575,110.97476,106.71231,99.36615,77.71054,89.46015,100.46233,112.48134,123.21792,113.60063,96.17137,107.31786,88.50008,104.935,120.45022,114.33891
CA, Orange County ,66.45617,66.40196,66.77567,62.29996,62.61662,63.50221,64.21666,66.7547,70.39508,68.99491,66.2768,71.67921,69.40179,68.78547,72.32557,71.62831
CA, Placer County ,84.05973,82.69636,88.83849,82.89592,82.22136,85.68816,91.32307,91.17904,91.83335,91.62037,92.22406,89.69037,96.67108,87.8737,89.34211,103.37008
CA, Plumas County ,101.18531,81.65226,81.47225,114.52021,66.66667,76.15421,101.14633,120.96579,112.68986,69.41346,75.30877,101.56924,62.08931,100.82785,113.06736,124.99321
CA, Riverside County ,64.46502,65.13534,62.65014,58.30703,57.04153,55.90684,60.52565,59.1755,63.32618,59.06672,58.57709,60.37173,62.6071,62.05672,59.29071,63.49633
CA, Sacramento County ,74.14996,71.47048,74.86094,63.60409,64.19894,67.38604,63.08582,68.92752,66.11983,68.29471,71.5884,73.24032,76.21425,76.77961,72.59138,77.23948
