State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,3.10379,3.60671,3.96688,3.4384,4.01184,3.32976,3.66913,3.02257,3.65554,3.26985,3.96392,4.11222,4.62861,3.79452,2.85915,3.4298
CA, Alpine County ,0,0,0,0,0,0,0,0,0,83.54219,0,0,0,0,0,0
CA, Amador County ,5.68941,5.60271,13.67577,2.70314,5.34759,5.25762,7.82207,5.16049,0,2.6152,29.04751,7.99488,5.39243,2.73403,5.44381,13.50402
CA, Butte County ,7.85056,4.84983,10.99847,8.5114,7.97879,8.38176,5.53444,6.89753,7.3048,7.73511,6.81871,7.72773,6.78181,6.30301,7.59017,7.99109
CA, Calaveras County ,0,7.26322,7.07881,2.28545,8.98271,8.831,6.51537,12.96793,6.48438,4.3573,10.9982,13.302,13.40483,8.97324,8.97082,6.69045
CA, Colusa County ,0,0,0,5.11038,0,0,4.78698,0,4.73171,4.70588,9.32575,0,4.68977,4.68999,4.70455,4.69087
CA, Contra Costa County ,3.14858,4.84061,4.18426,3.54419,3.52672,5.00494,3.49708,4.06282,4.29963,4.91382,5.12881,5.62785,4.35895,3.19918,3.87738,4.98562
CA, Del Norte County ,3.64431,0,7.30007,10.86917,14.31127,7.07189,7.08943,10.5578,0,3.49663,3.50116,7.02593,3.54459,3.59234,3.66946,3.66287
CA, El Dorado County ,3.18143,4.3451,4.23742,4.75254,4.66057,5.71419,4.52558,5.62765,4.46553,4.98739,8.28029,2.76452,6.64606,4.40949,7.64898,5.4242
CA, Fresno County ,2.12158,4.55093,3.25395,2.00663,3.8326,4.24083,3.05478,3.12523,3.40798,3.25564,4.07523,3.29613,3.8021,3.04059,3.11478,2.77741
CA, Glenn County ,7.57117,0,7.50441,11.10453,3.68704,3.65057,0,7.20072,0,7.11744,3.55758,7.09572,7.15871,7.16461,3.57373,7.15282
CA, Humboldt County ,6.32601,6.27353,2.32955,3.08276,6.88589,4.56284,3.78521,5.30299,4.52294,5.98158,0.74057,5.91528,8.16854,8.91829,5.19808,9.60239
CA, Imperial County ,2.80879,2.08758,1.37325,7.38334,3.28388,3.20281,4.36123,2.43019,2.97766,2.32547,2.86121,3.4047,3.38434,3.95047,4.47262,3.89308
CA, Inyo County ,0,0,0,21.51347,0,21.64736,5.44366,10.85423,0,5.39258,0,5.4339,0,0,21.72732,5.47915
