State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,2.965844507,3.470606009,3.898486156,3.300867922,4.011839075,3.052280713,3.184528178,2.67909584,3.04628732,2.869461522,3.171136317,3.133120412,3.535745097,2.656166797,1.9889761,1.163683045
CA, Alpine County ,0,0,0,0,0,0,0,0,0,83.54218881,0,0,0,0,0,0
CA, Amador County ,5.689414844,5.602711712,13.67577473,0,5.347593583,2.628811777,7.822073893,2.580245639,0,2.61519954,26.40682352,7.994883275,0,0,5.443806309,0
CA, Butte County ,7.359904223,4.849825164,10.99846978,8.038547198,7.978785817,7.916107883,5.534442682,6.437699166,7.304801994,7.735113319,5.909547556,7.27315705,5.877565784,5.402582434,4.46480395,3.99554275
CA, Calaveras County ,0,7.263219059,7.07881076,2.285453091,6.737031215,8.830996799,6.515365403,10.806605,6.484383443,2.178649237,8.798557037,13.30199973,13.40482574,6.72992799,4.4854112,0
CA, Colusa County ,0,0,0,5.110384301,0,0,4.786979416,0,4.731711933,0,9.325748391,0,4.689771608,4.689991558,4.704554008,0
CA, Contra Costa County ,2.833723408,4.428643229,4.082207495,3.037879317,3.022901502,4.504445888,3.197333424,3.270072298,3.615597492,4.335719585,4.274011635,4.596079638,3.524255223,2.650749979,1.983776317,1.691548755
CA, Del Norte County ,3.644314869,0,7.300069351,7.246114271,14.31127013,7.071885718,7.0894332,7.038535985,0,3.496625756,0,7.025925666,3.544590954,3.592341129,3.669455453,3.662869492
CA, El Dorado County ,3.181430626,3.724371667,4.237416387,4.158473484,4.077994559,5.142768981,4.525578001,5.064886828,3.907340218,3.324928653,8.280293454,1.658714054,4.430709246,4.409487011,4.917199819,2.16967981
CA, Fresno County ,1.871986102,4.550927959,3.133428622,2.006626589,3.600318222,4.126216374,2.715356017,2.902002717,2.858305025,2.930075379,3.431771556,2.870825607,3.274034582,2.096959199,2.180343477,0.925802105
CA, Glenn County ,7.571168988,0,7.50440884,11.10453065,3.687043728,3.650567663,0,7.200720072,0,7.117437722,3.557579423,7.09572128,7.158708569,3.582303421,3.573725967,0
CA, Humboldt County ,5.535259604,6.273525721,2.329554279,1.5413783,6.8858931,3.802368115,3.785211934,5.302990129,4.522942626,5.233879651,0.740565199,4.436458819,5.940755813,5.202333618,2.227750343,4.431871062
CA, Imperial County ,2.808791517,2.087580981,1.373249107,7.383343178,3.283878129,3.202808222,3.738201302,2.430192714,2.977661583,1.744104925,2.861213956,3.40469962,1.692171451,1.693059584,2.236310981,0.556154967
CA, Inyo County ,0,0,0,16.13510461,0,21.64736443,0,10.85422772,0,5.39257981,0,5.433896647,0,0,10.86366105,0
CA, Kern County ,2.410353674,2.956069846,3.457919284,2.800053761,3.3953736,3.943601244,3.441634343,4.481619757,3.666016152,3.493399282,2.495021837,3.766992668,2.570670057,2.776318925,1.605250545,1.364416252
CA, Kings County ,4.621250048,2.257659109,0.738721568,1.434792278,4.178243884,4.133740277,1.353986135,2.659220848,1.315555789,2.626774715,1.312611572,1.975048553,0,1.993620415,1.336282062,0.665198795
CA, Lake County ,11.95804435,8.303027284,1.625672622,3.200204813,3.168768617,9.402767548,3.115167752,4.681867129,7.764939744,3.104963284,12.3565482,7.783070266,15.639173,7.839939789,7.800433704,4.65506005
CA, Lassen County ,8.897061004,0,5.982650314,2.947244327,0,2.899559267,5.779511631,0,5.678430482,2.844141069,5.740857684,2.916472235,0,0,0,0
CA, Los Angeles Registry ,2.809757112,2.950332401,2.668476423,2.856515389,3.196074689,2.585227438,2.46458317,2.55660641,2.711823458,2.932341582,2.788669818,2.598984919,2.149985608,2.16665555,2.1159049,0.820786264
CA, Madera County ,2.427439779,1.592597606,4.67402566,3.766818846,4.376176097,4.988846365,3.481360794,2.053851999,3.370203358,4.020531514,3.970906492,2.632237007,2.632496857,1.317427591,4.54335988,1.29612588
CA, Marin County ,2.020038785,3.22755037,8.528784648,4.080733226,7.384039808,3.275922786,3.270913403,5.279230694,4.025797309,5.182132009,3.953412981,5.088919074,3.905273682,4.255220382,2.303121497,2.681437557
CA, Mariposa County ,5.847611251,0,0,0,0,0,5.488775454,0,5.431240495,0,5.47645126,0,5.599731213,5.635072692,0,0
CA, Mendocino County ,6.943881861,12.66682788,3.433908704,11.34558657,6.81585823,2.273218081,4.579540901,2.296976031,8.002926785,10.259684,1.138861366,3.430845589,0,3.440090818,2.287047308,1.144780374
CA, Merced County ,2.82674858,1.828019889,3.106265337,3.883746521,3.37296568,2.061396637,3.260807539,0.402349722,2.394846291,0.792700811,3.114888779,2.31055384,2.677580997,0.761437747,0.377160659,0.748780424
CA, Modoc County ,0,0,0,0,20.82248829,0,0,0,0,10.3669915,0,0,0,10.98901099,11.09877913,0
CA, Mono County ,7.73933906,0,0,0,0,0,0,0,7.213966239,7.138777841,0,0,0,7.132667618,7.11997152,0
CA, Monterey County ,4.218466959,3.930412055,5.13476308,2.928793703,2.446596906,3.455604126,3.484051753,2.733761457,3.694381093,5.362413866,4.082465809,3.561617164,1.878820758,2.80331913,1.860889226,1.157388653
CA, Napa County ,5.619556055,6.308252772,9.320822718,8.452565738,8.436423877,3.067931677,3.804017042,3.016978044,5.220257582,4.435245417,2.923698771,6.524575903,5.039669398,4.28259411,2.834929162,2.81980064
CA, Nevada County ,5.404236922,7.469455263,4.226230097,6.275756752,2.072281167,7.197943445,6.150755005,4.090230484,3.054989817,12.17149638,7.086311271,2.024865346,5.086211281,4.075145686,5.060933641,4.047394995
CA, Orange County ,2.767547389,3.777564524,3.369729854,2.594409185,2.991456333,3.1972191,3.478544372,3.274629907,3.550184221,3.381118695,2.452241763,2.816086007,2.722909883,2.345324259,1.914218753,0.982077715
CA, Placer County ,6.37419725,3.414069761,3.972452845,4.127597807,1.651031399,0.95919581,4.038094765,5.166812047,7.405915253,4.072016521,3.426280715,4.484518601,4.708906481,3.547696044,4.858483182,1.068424581
CA, Plumas County ,0,4.803073967,9.584970766,19.08670134,9.523809524,19.03855307,9.632983335,0,4.89955904,4.958104021,5.020584396,10.15692448,5.17410876,10.61345786,5.384159802,0
CA, Riverside County ,3.527936446,3.46398752,3.734114455,3.217328872,3.44726917,4.555372363,3.975412076,3.132253878,3.5549876,3.074450617,2.951559013,3.398704736,4.194410484,2.923910254,2.454299437,1.190024872
CA, Sacramento County ,3.496105501,3.553780947,4.227260604,2.559217662,2.446379803,4.335633914,3.504767579,3.258128488,3.729100899,3.762598493,3.867742884,2.439020991,3.523958774,3.424603585,2.503150926,1.469955447
CA, San Benito County ,5.578178167,1.830027084,1.816332461,3.623319685,0,1.82992662,3.695218387,5.548158012,1.842740524,7.348078477,0,3.561316975,5.28178313,3.480016008,1.721229646,3.420382057
CA, San Bernardino County ,3.550563812,3.294086377,2.88922436,2.925061548,3.422736978,2.829328719,3.799122656,3.162395007,3.243941938,3.028858567,3.085872484,3.393207284,2.50331328,3.544154659,2.041848395,1.837416875
CA, San Diego County ,3.749072458,4.077121009,3.689203563,3.465191296,3.754257242,3.505338835,3.087583199,3.360506388,3.67292321,3.332023391,3.092438794,3.056651209,3.111727031,2.609977135,2.362792342,1.458857927
CA, San Francisco County ,3.985164902,4.226082614,3.494136968,3.78511016,3.677798575,4.587059773,5.594223639,4.880097294,4.423928651,3.865712625,3.971376305,4.536137075,3.137005077,2.621294443,3.292475283,1.624122394
CA, San Joaquin County ,4.402299761,2.706327902,5.254161871,3.51001471,3.110913395,2.587578103,4.677042661,2.993653455,1.935410873,4.131402198,3.055078705,1.726760324,3.14011627,2.559490377,3.224820462,1.382177649
CA, San Luis Obispo County ,4.438365229,4.772092801,4.741527483,1.963294251,5.450821906,3.866751735,6.142081705,3.044487575,4.880649352,4.102258107,6.298419097,5.900227159,6.193371635,3.620682788,2.510067162,0.711845103
CA, San Mateo County ,3.531971405,5.243608113,2.723514538,3.174342082,6.085536563,3.043134254,2.752920994,3.026595124,2.699515508,3.36314858,2.500225715,3.566925818,3.513598979,2.269838388,1.717715861,2.22748958
CA, Santa Barbara County ,3.500087502,3.47253227,2.714856187,4.916299993,2.455289184,3.67575886,3.675704816,3.404313265,2.645127315,4.044191114,2.591918868,3.755886178,3.018776792,2.753556677,1.361924672,0.675957325
CA, Santa Clara County ,2.908103341,3.317374393,2.396145082,2.584768381,3.367070174,3.700803194,2.424372871,2.803695738,3.216608729,2.889294145,2.350785302,2.702899494,2.936397627,2.46389721,1.746194355,0.785297143
CA, Santa Cruz County ,2.736138527,2.733894433,1.571517811,3.952241118,2.773859151,4.375897556,3.179448048,3.947825538,3.898331514,4.615224858,3.4185437,3.020053153,3.377934581,4.090009965,2.583302272,0.730922022
CA, Shasta County ,6.111909055,7.21119177,7.050611641,6.350965924,8.006084624,4.555419526,6.811757093,8.496272968,6.770213318,7.333073855,7.331378299,2.809572776,7.28577033,5.026192045,2.782151939,3.904049615
CA, Sierra County ,55.95970901,0,28.71912694,0,0,0,0,0,0,0,0,32.19575016,0,0,0,0
CA, Siskiyou County ,0,11.38744648,9.098146253,11.28999481,11.26278326,6.720279564,8.991390743,8.995839424,4.466279589,6.698222738,8.90154887,2.238488573,0,4.583791713,11.50059803,4.599498655
CA, Solano County ,3.778584995,2.96876121,2.939548191,3.427936211,3.17614665,2.204904197,2.938281399,4.899042972,4.156763788,4.143410758,3.381364815,2.160936982,3.572440763,2.358646326,2.793289587,1.841955604
CA, Sonoma County ,4.343850519,4.728203519,4.728152711,4.072979213,5.998170558,4.936279076,4.299337042,3.423514409,5.918523075,4.17119415,5.569111644,6.35713568,4.28126701,4.851846835,4.207000449,1.196472798
CA, Stanislaus County ,3.337256464,4.528194479,3.560440573,3.2830143,3.856983068,5.599776009,2.972351189,3.347550578,3.143220858,2.150386288,2.910688436,3.860459819,3.068896732,4.383089659,1.698901754,0.933907375
CA, Sutter County ,2.525507627,8.734932242,4.868430661,4.724167661,5.781416216,2.253165698,1.097550268,7.530201487,4.261893346,2.119407414,3.164356686,5.284630182,4.238994511,1.054841194,4.200092402,2.083810873
CA, Tehama County ,10.68185864,5.292405398,6.971070059,5.125751777,3.357338302,3.300221115,4.871157874,8.045440649,3.192440301,7.950263154,6.292177251,11.06649382,3.167915353,6.365878889,1.593473134,3.170928924
CA, Trinity County ,7.704160247,0,0,0,15.19872331,7.44047619,22.00381399,0,21.96836555,7.2663857,14.52960407,7.290755322,14.81481481,14.89203276,15.24274064,7.65228038
CA, Tulare County ,2.170215421,5.091499607,4.478775872,5.144787173,3.766705338,2.206044562,1.687068141,3.07954707,2.096519079,2.517237355,3.385370235,3.352824419,2.440642466,1.544047257,2.192429541,1.309363257
CA, Tuolumne County ,7.318233378,7.239425914,8.952551477,1.769504362,5.300166072,7.043741636,14.11432604,10.64981629,3.551136364,10.74402364,10.8731108,7.306069517,11.08360734,3.707823508,14.86242964,3.730299357
CA, Ventura County ,3.833413086,4.043360476,2.309205133,3.426091591,2.518910722,2.89600691,2.505691051,3.249890316,2.480303291,3.55771472,2.907962972,3.61138163,2.756078651,2.263257328,2.843339123,1.179636177
CA, Yolo County ,2.355227132,3.42198167,3.327288759,1.639756442,3.239093702,3.22114791,2.109537748,3.601953288,5.07217708,3.00313828,4.972106483,2.473202847,2.439869418,1.451484143,3.353502254,0.942498186
CA, Yuba County ,1.656397005,0,4.830917874,6.376229417,6.275297292,6.034547786,5.774338838,2.826415681,4.179844788,2.793023028,2.764492854,4.135193251,1.371723296,2.731009244,2.710908697,1.345913135
CT, Fairfield County ,4.636100067,5.623898419,5.711725837,6.917002662,6.68544534,4.34466325,4.463020528,5.348201333,5.532050488,3.405018118,3.6966567,3.122005835,4.171430833,2.764131356,2.225316472,1.376136106
CT, Hartford County ,4.659745392,5.332881971,4.380650896,5.95418711,4.803024533,4.213734268,5.559980846,4.748187775,5.406068988,5.607474539,5.025754198,2.786890911,6.017249448,2.784779952,2.454650335,1.676554613
CT, Litchfield County ,8.762465977,8.690079188,5.377095723,7.469694383,5.302198822,7.410857966,4.744783374,4.213497941,9.990797949,5.262742415,5.796459944,4.762711147,5.86707345,5.354465624,2.701096645,2.176562772
CT, Middlesex County ,5.141619482,6.369183343,7.538304007,4.973145017,6.813254878,5.5490132,4.893774507,8.52987589,9.699203453,7.246070516,5.433765418,3.609565348,8.458601189,3.631543588,4.861596427,1.222665778
CT, New Haven County ,5.697584345,5.90450369,6.226806642,5.226031815,6.86792855,6.374223584,5.528065518,6.443314066,4.202553752,5.116130345,4.169175893,4.398102335,4.512964358,4.056973822,2.785728712,1.280449973
CT, New London County ,3.848403682,3.060490597,7.933569577,7.127209435,5.956923993,6.30414145,7.754399699,8.128008749,6.235465863,5.847312064,3.64867626,5.123963312,3.281473892,6.949397414,4.778480664,0.738991793
CT, Tolland County ,3.653288325,6.477895979,7.024346385,6.198560556,4.771447657,4.740716661,1.342696403,3.339611804,4.61793209,3.938817042,3.916091219,7.185175024,3.289343842,5.267281622,4.612606914,0.659265315
CT, Windham County ,7.327013784,5.460999363,10.80321936,2.663044926,8.747681864,4.323912968,3.425302711,2.558766333,13.57220413,3.386616093,3.372880356,9.28857927,6.779948303,11.04803345,3.421171922,4.287613086
GA, Appling County ,0,0,0.018587996,0,0.035793978,0.017539998,0,0,0.016446062,0,0,0,0.015893023,0.047438338,0.015690163,0
GA, Atkinson County ,0,5.729017474,0,5.639521769,0,5.627778716,0,0,0,0,5.456728146,0,10.88198487,5.449294316,0,0
GA, Bacon County ,0,39.26187672,12.90655653,0,0,0,0,0,0,0,23.92344498,0,12.11387038,0,12.19066195,23.95209581
GA, Baker County ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA, Baldwin County ,49.68944099,49.93757803,76.47208769,72.74490786,74.5526839,0,128.9656951,53.96654074,80.472103,56.17977528,29.12055911,120.5182284,59.43536404,60.25911419,30.6936771,31.64556962
GA, Banks County ,0,0,2.21224255,2.201043295,2.175473709,2.159640636,0,0,2.089645805,0,2.188471134,0,0,2.167175953,2.181548463,2.201140191
GA, Barrow County ,6.875687569,26.62229617,0,6.314725941,30.76923077,5.994125757,23.42468962,5.698005698,16.71029911,10.98418278,10.86484137,16.3621489,27.4228048,0,5.469262743,5.414771497
GA, Bartow County ,4.299226139,2.075937805,9.918863695,9.568828584,5.451373746,3.454887803,6.515188533,6.176652254,2.969032986,2.917663535,1.434843746,4.294302891,4.275879762,11.21626358,5.480803486,2.662867642
GA, Ben Hill County ,0,2.5005001,0,0,0,0,2.150930815,0,1.016105269,1.001933732,1.99730364,0,0,0.98808371,0,0.975295758
GA, Berrien County ,5.719842132,5.775339301,5.821399464,5.849663644,5.845902023,5.799454851,0,11.2873187,0,0,0,11.37980085,11.38303927,5.741516909,11.46788991,0
GA, Bibb County ,61.47037128,61.00536847,53.98596365,52.88828818,68.969481,11.27713561,55.39859288,49.30156122,31.80830197,36.71264488,51.69828879,36.12530319,36.53444676,21.02828304,47.89781799,0
GA, Bleckley County ,0.649954178,0.651262146,0.649650163,0,0.648680907,0,0,0,0,0,0,0.641926808,0.640249954,0.646972814,0.649713476,0.651296079
GA, Brantley County ,0,8.488243782,0,0,0,0,7.966223214,7.682851875,15.40238737,15.34448366,0,7.65520937,15.49306685,0,7.840677435,7.823501799
GA, Brooks County ,0,13.25117604,0,0,0,12.09555488,0,5.814629608,0,0,5.418292154,16.15508885,0,0,10.8754758,0
GA, Bryan County ,0,12.26467161,0,0,6.200781298,6.201935004,0,12.24514786,0,0,18.44678104,6.251953736,6.390593047,12.76813075,12.87498391,0
GA, Bulloch County ,8.520064752,8.379771232,0,15.95596155,0,0,7.313683903,0,3.427239701,0,6.582845106,9.602458229,3.098661378,15.09661836,2.954471593,2.852904257
GA, Burke County ,5.343212339,5.280946346,1.743344781,5.057827832,3.287743293,1.586093135,0,1.52049629,0,1.457768448,1.416831964,2.752811309,1.366829775,4.17402919,1.374853922,0
GA, Butts County ,0,4.42830573,0,0,4.373114095,4.359387942,0,4.353125544,8.664009704,8.651641649,4.284857314,8.487163166,4.323202629,0,4.403540447,0
GA, Calhoun County ,0,0,9.526985186,0,9.2140422,0,4.4113106,0,0,4.222616333,4.211767679,4.243581583,0,4.305705059,8.555417718,0
GA, Camden County ,31.62055336,15.94642003,47.17722912,15.9083678,0,31.96930946,15.7480315,0,0,44.97751124,29.83293556,15.28117359,15.41069502,61.41563028,46.70714619,0
GA, Candler County ,2.281854691,2.248757561,2.207554251,2.243762341,0,0,0,0,0,3.998080921,0,1.987162927,1.945260373,1.942124684,0,0
GA, Carroll County ,0,21.18195298,51.16659844,30.19019825,69.72806056,59.06674542,19.25298421,47.23219346,46.76830979,36.76470588,18.15705856,80.11393983,35.95182456,54.78951694,45.92211609,36.57978967
GA, Catoosa County ,1.137242415,2.194618795,3.188538268,4.106944844,1.002265119,0,0.944706338,0,0,4.527632139,0.903358688,0.903293408,0.897311654,0.890210357,2.630379125,1.743846402
GA, Charlton County ,0,1.830228046,0,0,0,0,1.636795155,0,0,1.56558224,0,0,0,3.060771621,0,0
GA, Chatham County ,77.57951901,149.882904,100.8249313,132.9551498,131.8333626,94.54232918,99.26379353,82.94625083,71.40590289,94.74930912,147.9981305,111.6653019,75.00750075,45.86104105,77.3933906,53.80890153
GA, Chattahoochee County ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA, Chattooga County ,13.29168605,0,11.08463116,6.540650141,19.33612633,21.28263337,25.36354413,0,0,8.364700962,0,8.836264028,15.83280557,16.08234159,8.364001338,0
GA, Cherokee County ,7.868130139,11.68451801,11.6786048,30.79173242,19.57943376,23.52387673,11.70046802,22.8745711,19.12338407,27.03328957,19.26336878,27.25538294,31.21463967,39.92812937,4.024306813,4.018969536
GA, Clarke County ,2.08656461,3.307118904,1.8905736,3.623516623,2.888420323,0.549064394,0.517488525,2.962319299,0.480143659,1.884729918,0.464692652,1.377809008,2.717538997,0.890944,1.30107816,1.273296012
GA, Clay County ,0,1.9251131,0,0,0.911145127,0,0.892267609,0.877231458,0.863796559,0,0,0,0,0,0,0
GA, Clayton County ,0.238938104,0.302067045,0.365816631,0.131953278,0.163461674,0.225678397,0.34562936,0.154069009,0.181984615,0.119857801,0.26655199,0.262201473,0.057188935,0.169687481,0.139310807,0.19192816
GA, Clinch County ,0,59.52380952,0,0,0,0,30.94059406,0,30.93102382,0,31.63555837,0,0,0,0,0
GA, Cobb County ,6.300429689,2.853334529,8.435293267,5.541679366,11.3582065,8.583958922,6.961849067,9.215138937,9.156845314,8.074842252,6.927899807,6.851374652,7.516734129,7.556636994,5.23215834,2.924329323
GA, Coffee County ,14.63914507,0,29.11208151,43.27131112,29.0149427,0,29.29115407,14.62415911,14.40714594,14.7080453,73.75719133,14.8214021,29.70885324,14.71020888,43.96248535,14.52432825
GA, Colquitt County ,15.96084273,7.822685789,10.31167023,0,7.617499937,2.510733385,4.913763451,7.264098404,4.783201397,4.751835396,4.681428772,4.653218864,6.954102921,2.320400965,4.66298291,4.643495624
GA, Columbia County ,7.11912672,0,11.74536058,11.74977675,6.978854072,4.65192008,4.576659039,4.523965708,15.59992869,11.07370659,4.382024934,8.72600349,4.332474059,2.159827214,2.169903439,0
GA, Cook County ,1.109410016,4.322595286,0,0,0.971496299,0,0.902160675,1.738012062,1.702069717,0.826104915,0,1.553192976,1.509228935,1.468536603,0,0.694058856
GA, Coweta County ,12.61431725,18.88574127,6.255864873,12.45330012,24.58814851,18.10828756,24.06449284,17.80626781,41.01482393,17.52950801,23.24365158,17.64394519,35.4861604,11.72264228,11.56336725,11.70617501
GA, Crawford County ,1.109668542,1.068067972,0,0,0,0,0.879128608,0,1.635577072,1.5936128,0,1.545248746,0,2.254096821,0,0
GA, Crisp County ,16.11863314,24.00768246,15.93244643,15.88310038,7.822277847,7.766990291,7.726184038,23.26483133,0,7.867201636,7.927699382,23.74169041,39.49759065,0,16.02692523,8.057368463
GA, Dade County ,0,0,0,0,4.480286738,0,4.401795933,0,12.90711182,0,0,8.430636935,8.490766292,4.304778304,0,4.376367615
GA, Dawson County ,6.579380222,6.443298969,6.386511687,12.57782529,6.239081607,6.177415369,12.18694778,24.02691014,0,12.00696404,18.05923429,12.06054393,0,0,0,6.172077521
GA, Decatur County ,0,11.85185185,28.53718395,10.86602195,5.310392438,10.19835806,0,4.649216607,4.555601112,8.958566629,4.486920626,9.005358188,8.940145724,8.859750155,8.737058232,4.2999656
GA, DeKalb County ,3.27061921,3.049729858,3.169481695,2.67869242,2.342483595,3.556220758,3.172622384,5.07131159,2.353557255,2.336530486,3.044815332,3.010528247,2.261071833,2.789894444,2.331494653,2.026632655
GA, Dodge County ,10.62962832,14.3523502,0,3.597769383,0,0,7.185198491,3.586414661,3.570153517,7.12809181,0,0,3.637157198,3.647372068,0,3.678769819
GA, Dooly County ,0,5.124788602,5.057913105,4.955401388,0,0,9.544716999,0,4.673115566,4.61701833,9.187376545,4.66309163,4.685376939,0,0,0
GA, Dougherty County ,78.13178227,41.5282392,32.76808389,47.96929965,46.69987547,52.66325609,14.57832204,36.05682556,49.32703826,40.62563478,40.41492658,27.44613696,27.88622421,34.98950315,21.2404418,28.72944049
GA, Douglas County ,2.08639773,5.211373301,5.239497427,1.0524654,7.399890059,9.512736497,3.177360249,5.289773809,5.298686985,3.168300101,4.230028976,5.266262218,7.400359446,7.507668547,3.242296843,0
GA, Early County ,1.077888201,2.089427497,1.014383965,0.980065468,2.793894409,0.882192071,0,0,0.772153072,1.523322061,0,0,0.747361813,0.733837235,0,0
GA, Echols County ,0,0,0,0,0,0,0,8.749671887,0,0,0,0,9.420631182,0,0,9.535615524
GA, Effingham County ,26.44103649,0,53.3191149,0,0,0,76.66751853,25.39360081,75.87253414,24.92522433,49.62779156,0,49.87531172,0,24.58814851,0
GA, Elbert County ,0,0,2.453566259,7.114399545,0,4.37359225,2.091044058,10.06846557,3.941818755,0,0,1.896993266,3.745318352,0,1.801607033,0
GA, Emanuel County ,14.65989054,9.735202492,14.55604076,9.721952168,19.33020828,4.856019036,0,0,19.53411144,0,0,0,5.103082262,0,0,5.180810279
GA, Evans County ,0,4.611907946,0,13.87860844,0,0,0,4.523044914,13.3803131,4.453152832,0,0,4.375984597,4.387119417,0,0
GA, Fannin County ,9.49577438,0,9.186954525,36.29764065,0,18.35704452,18.36715952,18.35030737,9.074410163,9.077705156,27.25043147,18.26150475,37.50937734,9.275577405,36.94467535,0
GA, Fayette County ,15.03457953,14.69723692,19.0105033,28.00597461,13.71553971,22.54893118,17.57623693,17.25253397,12.81175265,8.452728118,4.221368568,17.01041888,12.77900835,21.08459138,12.65342275,4.11776817
GA, Floyd County ,7.602663104,6.377144315,0,9.218100252,3.016803596,5.884602936,1.921248043,7.619845889,2.851927903,3.791720778,3.738562336,7.462129692,3.722211366,3.69388754,1.825650388,2.713802399
GA, Forsyth County ,4.403491969,4.386878845,3.239845783,3.207218379,2.127342736,4.24034262,4.203225976,5.246149326,3.127541127,2.07505473,4.148387833,7.275448479,2.081923697,6.249609399,6.246031168,0
