State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,6.96629,7.21342,7.18142,6.60174,8.71537,8.39377,9.13821,9.54857,8.5296,11.07746,11.4293,12.14084,11.18581,11.1306,12.36895,10.71813
CA, Alpine County ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA, Amador County ,2.84471,19.60949,13.67577,8.10942,16.04278,5.25762,7.82207,10.32098,7.84355,13.076,18.48478,29.31457,26.96217,10.93613,19.05332,29.70885
CA, Butte County ,6.37858,6.30477,5.26014,7.56569,5.63208,3.25957,5.53444,7.81721,7.3048,15.92523,11.36451,9.54602,9.94665,11.25538,15.62681,6.21529
CA, Calaveras County ,0,4.84215,2.3596,9.14181,8.98271,2.20775,4.34358,10.8066,8.64584,4.3573,15.39747,8.868,15.63896,20.18978,17.94164,20.07136
CA, Colusa County ,5.31434,5.25707,5.19967,5.11038,9.89756,0,0,0,9.46342,9.41176,13.98862,4.68033,14.06931,4.68999,9.40911,9.38174
CA, Contra Costa County ,3.9882,4.84061,5.0007,5.77197,5.13893,7.80771,7.69358,8.52201,8.99013,8.67144,8.45305,10.50532,11.40746,9.68895,10.45991,10.50541
CA, Del Norte County ,21.86589,3.66408,7.30007,10.86917,14.31127,17.67971,17.72358,7.03854,17.54632,10.48988,17.50578,14.05185,7.08918,3.59234,14.67782,10.98861
CA, El Dorado County ,1.90886,3.72437,3.63207,4.75254,4.66057,6.28561,6.78837,4.50212,10.60564,7.75817,9.38433,10.50519,9.9691,9.37016,8.74169,11.93324
CA, Fresno County ,7.23835,7.25689,8.91822,7.6724,8.12975,5.96009,8.82491,7.36662,8.79478,10.52657,10.61704,10.84534,8.23789,10.0654,12.66676,10.18382
CA, Glenn County ,7.57117,3.78072,15.00882,11.10453,7.37409,3.65057,0,10.80108,3.56901,0,7.11516,7.09572,10.73806,7.16461,3.57373,14.30564
CA, Humboldt County ,7.90751,2.35257,5.43563,7.70689,7.65099,9.88616,6.05634,11.36355,9.04589,8.22467,10.36791,14.7882,11.88151,11.89105,17.07942,23.63665
CA, Imperial County ,11.23517,4.87102,11.67262,9.39698,8.53808,8.3273,8.72247,3.64529,8.33745,10.46463,10.87261,9.64665,15.7936,15.80189,19.00864,17.79696
