State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,6.207581526,6.600956526,6.360687939,6.257895435,7.470321037,7.422591733,7.68440495,7.899897988,6.9726132,9.943017833,9.315212932,9.007721184,8.87150588,8.031742458,6.650638834,3.736035038
CA, Alpine County ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA, Amador County ,2.844707422,19.60949099,13.67577473,8.10942315,13.36898396,5.257623554,7.822073893,7.740736918,5.229031583,10.46079816,13.20341176,21.31968873,24.26595487,10.93613298,10.88761262,8.10241452
CA, Butte County ,6.37858366,5.819790197,5.26013772,7.092835763,5.632084106,3.259573834,5.534442682,7.817206131,5.93515162,12.74018664,10.45535337,7.727729366,6.781806673,7.203443246,10.71552948,3.551593556
CA, Calaveras County ,0,4.842146039,2.359603587,9.141812364,6.737031215,2.2077492,4.343576936,10.806605,6.484383443,4.357298475,15.39747481,8.867999823,8.936550492,15.70316531,8.9708224,6.690454951
CA, Colusa County ,5.314343413,5.25707076,5.199667221,0,9.897560251,0,0,0,9.463423867,9.411764706,4.662874196,4.68033324,14.06931482,4.689991558,9.409108017,0
CA, Contra Costa County ,3.988203314,4.634626634,4.082207495,5.468182771,4.836642403,7.107014623,6.894250195,7.927447996,7.817508091,6.937151336,6.743440579,7.972791209,9.181612291,6.398362019,5.320127395,3.561155274
CA, Del Norte County ,21.86588921,3.664077385,7.300069351,10.86917141,14.31127013,17.6797143,17.723583,7.038535985,17.54632229,10.48987727,17.50577691,10.5388885,3.544590954,3.592341129,11.00836636,7.325738984
CA, El Dorado County ,1.908858375,3.724371667,3.632071189,4.158473484,4.66056521,5.714187757,6.222669752,3.939356422,10.60563773,7.204012081,7.176254326,9.399379641,7.75374118,5.511858764,7.10262196,2.16967981
CA, Fresno County ,7.113547189,6.518896806,8.315637496,6.964174633,7.665193633,5.272387589,8.372347719,6.808544835,8.355045458,9.549875309,9.544614639,8.825130569,6.759297202,7.549053118,7.786940988,4.731877424
CA, Glenn County ,7.571168988,3.780718336,15.00881768,11.10453065,7.374087457,3.650567663,0,7.200720072,3.569006745,0,3.557579423,3.54786064,3.579354284,7.164606842,3.573725967,3.57641
CA, Humboldt County ,7.90751372,2.352572146,5.43562665,7.706891502,6.8858931,9.125683476,6.056339094,9.848410239,8.292061482,8.224668022,9.627347592,12.56996665,9.653728196,8.175095686,8.911001374,7.38645177
CA, Imperial County ,9.830770311,4.871022288,10.98599286,9.396982226,8.538083135,7.686739733,7.476402604,3.645289071,7.741920115,9.301892935,9.72812745,7.944299114,12.97331446,12.98012348,10.62247716,5.56154967
CA, Inyo County ,5.569479254,16.55903295,0,10.75673641,5.382710733,0,21.77463255,10.85422772,10.91822251,16.17773943,10.80321936,5.433896647,5.432420687,5.42947117,0,0
CA, Kern County ,2.711647883,4.138497784,3.169759343,5.460104834,4.346078208,5.521041742,6.118461054,6.348961322,6.96543069,6.264026299,5.346475366,7.063111253,5.725583308,5.55263785,7.1089667,3.9795474
CA, Kings County ,2.310625024,5.267871253,6.648494116,3.586980695,4.874617865,10.33435069,7.446923744,4.653636485,4.604445263,3.940162072,8.531975218,9.875242766,9.268945062,11.96172249,5.34512825,1.995596384
CA, Lake County ,5.124876149,8.303027284,8.12836311,8.000512033,6.337537233,9.402767548,9.345503255,15.60622376,13.97689154,21.73474299,20.07939082,14.00952648,6.2556692,10.9759157,6.240346963,4.65506005
CA, Lassen County ,0,8.942410874,5.982650314,0,5.804167392,2.899559267,2.889755816,8.4234171,2.839215241,8.532423208,2.870428842,11.66588894,5.941417622,18.66600299,6.30636312,0
CA, Los Angeles Registry ,5.986460116,6.482420486,6.799978529,6.143043848,6.963971048,7.58197138,6.972716551,7.711054818,7.786220383,8.470073768,8.27441081,7.857631449,8.238262611,6.849427224,5.880824885,4.183043248
CA, Madera County ,3.236586372,2.388896409,5.453029937,6.026910154,4.376176097,4.276154027,6.962721589,9.584642664,10.11061007,12.06159454,5.956359738,13.16118503,7.239366358,7.904565545,6.490514114,1.94418882
CA, Marin County ,6.060116354,4.841325555,2.842928216,7.75339313,2.871571037,6.961335921,11.85706108,7.715798707,6.843855426,4.78350647,8.697508559,9.003472209,6.638965259,8.510440763,4.606242995,4.21368759
CA, Mariposa County ,5.847611251,5.848295222,0,5.647484046,11.20824927,0,10.97755091,16.3345312,5.431240495,5.490885131,5.47645126,10.99626127,0,5.635072692,11.32631102,5.697031846
CA, Mendocino County ,8.101195505,4.606119229,6.867817408,10.21102791,13.63171646,20.45896273,11.44885225,5.742440078,6.85965153,6.839789334,11.38861366,10.29253677,13.72856342,10.32027246,8.004665577,4.579121496
CA, Merced County ,6.595746686,4.570049722,5.768778483,4.746801303,5.90268994,5.359631257,6.114014136,4.023497224,7.583679921,5.548905677,5.061694266,8.472030746,7.65023142,6.852939721,7.166052523,5.990243391
CA, Modoc County ,0,21.39037433,0,10.52520787,0,0,10.39825309,0,10.47010784,31.1009745,0,10.52964094,10.72041166,21.97802198,0,0
CA, Mono County ,0,0,0,7.489514679,0,7.421701054,0,0,0,0,0,0,0,0,0,0
CA, Monterey County ,5.955482766,6.386919589,4.156712969,6.101653548,6.361151956,6.664379386,5.22607763,7.455713064,7.142470112,10.72482773,9.605801904,9.497645771,9.394103791,8.643567317,7.21094575,3.703643691
CA, Napa County ,4.816762333,5.519721175,5.437146585,4.610490402,6.135581001,6.135863354,5.325623859,8.296689621,8.949012998,13.30573625,8.771096314,10.14934029,12.95914988,7.13765685,4.252393743,7.0495016
CA, Nevada County ,8.646779075,13.87184549,6.339345146,7.32171621,11.39754642,8.22622108,12.30151001,10.22557621,5.091649695,9.128622288,7.086311271,12.14919208,5.086211281,12.22543706,9.109680554,1.011848749
CA, Orange County ,4.869482115,6.168866838,5.77667975,5.154681407,5.167060938,6.530490076,6.957088745,6.208152532,7.472292503,7.532195113,7.389863692,6.712763157,6.256209612,6.843206399,6.412632823,3.326392261
CA, Placer County ,4.382260609,4.552093014,3.611320768,5.159497259,5.283300478,2.557855494,5.90183081,4.862881926,6.813442032,7.271458073,8.280178395,6.726777901,7.47885147,7.914091176,5.398314646,2.136849162
CA, Plumas County ,4.81834827,0,4.792485383,14.31502601,14.28571429,4.759638267,19.26596667,19.35452654,19.59823616,9.916208042,15.06175319,15.23538672,5.17410876,0,5.384159802,5.434487256
CA, Riverside County ,4.169379436,4.3299844,5.749350827,5.644436617,5.332494498,5.487153073,6.609122577,6.168130714,6.019779003,6.428396744,7.219967433,5.545255095,5.209899339,6.764269991,6.329509076,3.230067508
