State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,55.79926,48.31628,51.70624,51.98867,47.31203,48.90586,46.86795,48.36111,44.94966,51.24992,43.33886,43.40677,42.68609,43.32082,41.89281,42.26007
CA, Alpine County ,82.71299,83.61204,0,81.103,0,0,0,0,0,0,86.2069,90.17133,0,0,0,180.83183
CA, Amador County ,99.56476,112.05423,95.73042,108.12564,85.5615,115.66772,88.65017,77.40737,91.50805,91.53198,110.90866,93.27364,105.15247,112.09536,136.09516,113.4338
CA, Butte County ,94.69743,94.08661,92.29151,82.74975,85.88928,77.76412,88.08988,75.41305,91.76658,79.62617,80.00618,73.18614,83.19016,67.9825,73.66927,79.46691
CA, Calaveras County ,100.87342,84.73756,96.74375,77.70541,87.58141,77.27122,102.07406,88.61416,73.48968,106.75381,81.38665,84.246,107.23861,76.27252,85.22281,84.74576
CA, Colusa County ,53.14343,63.08485,25.99834,56.21423,94.02682,58.42259,47.86979,80.66429,56.78054,89.41176,55.95449,32.76233,60.96703,28.13995,75.27286,37.52697
CA, Contra Costa County ,54.47046,60.04416,53.47692,59.44117,52.19543,52.35167,54.75433,56.78035,52.08415,49.04181,51.95299,54.87156,52.49285,52.19235,44.81531,47.09628
CA, Del Norte County ,87.46356,76.94563,83.9508,76.0842,93.02326,74.2548,88.61791,109.09731,87.73161,104.89877,94.5312,126.46666,63.80264,57.47746,91.73639,65.93165
CA, El Dorado County ,66.17376,67.03869,69.6147,59.40676,58.83964,54.28478,65.05518,65.84353,62.51744,66.49857,67.89841,58.6079,60.92225,70.55179,75.94342,62.92071
CA, Fresno County ,45.80126,45.50928,43.868,43.79167,46.57186,45.61761,43.89826,43.30681,46.94216,43.3,44.18406,43.48769,45.73087,42.67312,39.03853,38.06075
CA, Glenn County ,79.49727,68.05293,67.53968,29.61208,77.42792,54.75851,75.94387,79.20792,114.20822,78.29181,64.03643,60.31363,64.42838,82.39298,92.91688,53.64615
CA, Humboldt County ,71.95837,83.12422,80.75788,71.67409,82.63072,68.44263,80.24649,56.06018,61.81355,68.78813,60.72635,63.58924,58.66496,68.37353,64.60476,81.98961
CA, Imperial County ,46.34506,38.96818,42.57072,43.62885,40.72009,45.47988,46.10448,34.0227,42.87833,40.11441,39.48475,40.8564,42.86834,35.55425,29.07204,30.58852
CA, Inyo County ,89.11167,88.31484,130.47733,86.05389,134.56777,119.0605,130.6478,103.11516,54.59111,97.06644,86.42575,76.07455,43.45937,59.72418,92.34112,98.62473
CA, Kern County ,53.78102,57.64336,51.29247,55.02106,52.6962,45.08851,44.61378,45.81211,48.75801,46.37789,43.12823,45.08619,42.29921,41.64478,37.95271,35.70223
CA, Kings County ,33.88917,36.8751,33.98119,38.022,38.30057,42.02636,43.32756,31.24584,38.8089,32.83468,42.65988,31.60078,35.75165,35.22063,23.38494,28.60355
CA, Lake County ,157.16287,134.50904,138.18217,134.4086,155.26966,126.93736,107.47329,137.33477,102.4972,107.12123,101.94152,101.17991,96.96287,133.27898,121.68677,116.3765
CA, Lassen County ,26.69118,32.78884,62.81783,17.68347,29.02084,43.49339,46.23609,44.92489,39.74901,71.10353,57.40858,32.08119,56.44347,59.10901,40.99136,41.4898
CA, Los Angeles Registry ,41.78989,42.45778,40.82048,40.32908,40.87504,40.47465,39.66952,39.44184,40.08157,40.89952,38.5325,37.21504,35.96705,35.66495,36.74522,37.08372
CA, Madera County ,41.26648,66.0928,53.7513,48.96864,59.80774,49.17577,55.0055,49.29245,45.83477,61.64815,48.3127,43.43191,46.0687,51.37968,47.38075,42.12409
CA, Marin County ,50.90498,57.69246,67.82414,60.80293,56.20075,54.05273,56.42326,60.50811,60.78954,57.8007,62.06858,55.97811,57.79805,51.83632,57.57804,45.58444
CA, Mariposa County ,111.10461,111.11761,86.99182,118.59716,106.47837,100.1558,142.70816,103.45203,86.89985,98.83593,93.09967,93.46822,117.59436,56.35073,96.27364,74.06141
CA, Mendocino County ,87.95584,94.42544,64.09963,58.99705,82.92628,78.42602,65.25846,71.20626,96.03512,75.23768,74.02599,72.04776,62.92258,72.24191,65.18085,74.41072
CA, Merced County ,47.11248,47.52852,43.48771,46.17343,38.78911,49.06124,45.65131,47.87962,46.30036,50.73285,49.44886,44.67071,44.75385,41.87908,41.48767,35.94146
CA, Modoc County ,21.26302,85.5615,74.77035,73.67646,52.05622,94.09305,93.58428,115.48556,115.17119,103.66991,61.88757,52.6482,75.04288,43.95604,77.69145,67.16669
CA, Mono County ,30.95736,30.24803,44.76276,37.44757,14.97006,7.4217,29.10573,14.62202,28.85586,14.27756,42.11709,13.88214,13.96161,28.53067,21.35991,50.41412
CA, Monterey County ,46.89943,40.28672,45.72384,46.61663,44.77272,45.66334,39.32001,45.23133,37.1901,40.94934,39.14364,42.97685,35.22789,36.20954,36.05473,33.33279
CA, Napa County ,77.0682,61.50546,88.54782,78.37834,90.49982,78.99924,74.55873,81.45841,81.28687,83.53046,68.70692,64.52081,59.03613,59.24255,56.69858,77.54452
CA, Nevada County ,103.76135,91.76759,87.69427,80.53888,73.56598,64.78149,85.08544,81.80461,81.4664,93.31481,66.81379,65.80812,74.25868,79.46534,70.85307,60.71092
CA, Orange County ,46.31263,47.02895,46.79798,43.11498,43.75005,44.18285,44.91415,44.54861,46.99768,47.60347,47.15595,40.63678,42.49684,40.44881,40.80476,42.79958
CA, Placer County ,69.71778,61.07391,72.22642,67.7614,60.42775,60.1096,67.71574,72.33537,60.72851,72.13286,58.81782,54.37479,62.32376,66.58753,59.65138,57.69493
CA, Plumas County ,106.00366,120.07685,129.39711,157.46529,85.71429,114.23132,110.77931,149.99758,68.59383,74.37156,60.24701,106.64771,62.08931,79.60093,64.60992,114.12423
CA, Riverside County ,62.15583,58.39293,57.13788,58.98436,56.44903,53.05973,53.86683,48.38128,49.76983,49.47071,47.17954,42.43909,46.31512,47.04441,49.94715,45.56095
CA, Sacramento County ,65.20643,62.78346,57.64446,60.29216,56.11847,59.30265,58.55882,61.39762,58.30306,57.50386,52.95292,56.09748,56.86702,53.97175,56.62533,55.92512
CA, San Benito County ,35.32846,42.09062,21.79599,23.55158,30.99418,18.29927,40.6474,44.38526,22.11289,42.25145,34.20096,30.27119,35.21189,22.6201,46.4732,42.75478
CA, San Bernardino County ,48.8348,46.62836,44.00511,44.52594,43.86369,44.24041,40.87856,39.40445,39.52618,43.19847,41.047,37.22833,37.69412,37.93203,37.98788,35.61762
CA, San Diego County ,56.73125,52.79349,52.02811,51.01722,49.24903,53.1246,52.3532,50.97888,48.47597,50.79702,47.09527,47.76018,45.67009,46.23388,43.0826,43.15788
CA, San Francisco County ,62.60566,60.0616,62.50623,62.51958,58.45073,64.08778,64.39862,58.94644,54.98311,58.11039,60.68759,52.10428,58.2759,52.90249,52.44443,54.17608
CA, San Joaquin County ,60.57564,62.0764,65.34864,56.47933,52.72998,48.55514,54.31404,54.48449,49.57629,51.79008,57.75554,49.64436,49.24273,47.49277,51.73734,49.62018
CA, San Luis Obispo County ,64.96153,68.4,67.56677,67.53732,69.69265,74.24163,73.70498,57.4647,63.44844,66.00906,48.53488,66.74632,56.83329,59.01713,66.69607,53.74431
CA, San Mateo County ,56.22898,61.22267,50.45669,53.38666,54.76983,56.66026,53.7544,59.23479,50.15416,56.19261,52.64364,51.03448,50.54177,47.53309,43.33929,46.51522
CA, Santa Barbara County ,53.75134,47.87134,52.32268,48.17974,53.03425,52.19578,51.21482,45.71506,48.57416,47.57872,46.41891,40.37578,43.19173,43.82744,46.75941,41.90935
CA, Santa Clara County ,37.92404,38.14981,39.35668,42.73884,38.66118,41.78326,42.04217,41.41292,36.24429,39.60033,36.88494,38.83349,40.51141,39.31523,39.52749,40.10251
CA, Santa Cruz County ,41.82383,46.86676,52.25297,41.10331,51.11826,44.55459,39.7431,44.21565,41.71215,41.53702,33.8056,29.06801,48.79239,33.46372,37.27336,38.73887
CA, Shasta County ,105.12484,87.73617,102.82142,102.77018,105.79469,109.33007,96.49989,90.62691,103.24575,96.45813,87.41259,76.42038,86.30836,86.00373,91.25458,99.83213
CA, Sierra County ,83.93956,170.55145,114.87651,85.44574,174.92711,59.20663,146.02804,59.2944,30.12048,123.15271,0,32.19575,97.52926,32.90556,67.0466,33.5233
CA, Siskiyou County ,119.86069,97.93204,102.35415,90.31996,96.85994,141.12587,94.4096,123.69279,111.65699,104.93882,109.04397,87.30105,95.1367,93.96773,94.3049,89.69022
CA, Solano County ,59.19783,52.44811,59.28089,53.13301,53.99449,63.69723,63.17305,56.58395,58.68372,57.76402,59.65694,58.5854,62.39863,57.78683,56.09857,55.9494
CA, Sonoma County ,62.76864,62.97107,71.35212,63.23836,56.33996,63.52777,62.98529,59.9115,59.39661,64.86207,62.29155,58.85477,55.86034,55.59408,59.09834,51.04951
CA, Stanislaus County ,51.39375,55.20085,55.50099,55.81124,61.91473,48.79805,53.10601,53.16698,54.41701,54.73711,59.37804,53.66039,46.60887,49.92911,46.05911,45.3879
CA, Sutter County ,78.29074,69.87946,63.2896,66.13835,67.06443,69.84814,68.04812,55.93864,60.73198,65.70163,55.90363,56.01708,61.46542,59.07111,61.95136,47.92765
CA, Tehama County ,133.52323,139.36668,125.47926,82.01203,112.47083,127.05851,113.66035,102.98164,94.17699,106.53353,94.38266,69.56082,83.94976,77.98202,98.79533,96.71333
CA, Trinity County ,154.0832,116.64982,114.81935,181.68055,83.59298,96.72619,161.3613,109.90621,146.45577,167.12687,123.50163,65.6168,111.11111,81.90618,91.45644,84.17508
CA, Tulare County ,42.59048,50.11108,45.31467,39.8721,49.21828,42.40508,41.69468,45.00876,37.5044,48.05635,45.13827,35.53994,33.28149,34.18962,34.42114,30.55181
CA, Tuolumne County ,111.60306,133.92938,93.10654,139.79084,111.30349,91.56864,98.80028,108.27313,118.96307,102.06822,121.4164,80.36676,83.12706,90.84168,87.31677,72.74084
CA, Ventura County ,50.23093,49.04205,44.90121,41.49378,46.72579,47.84707,47.60813,45.49846,43.52932,43.7967,41.6808,41.29013,39.30408,42.16806,46.20426,45.53396
CA, Yolo County ,54.17022,52.47039,39.92747,43.72684,57.22399,44.02235,53.26583,55.57299,41.59185,39.54132,34.30753,36.10876,29.76641,43.54452,45.99089,33.45869
CA, Yuba County ,76.19426,89.79738,98.22866,70.13852,105.11123,63.36275,85.1715,84.79247,72.45064,79.60116,55.28986,55.13591,49.38204,69.64074,58.28454,61.912
CT, Fairfield County ,64.22695,64.22492,64.28491,70.39724,64.2917,68.06639,61.14338,66.18399,64.50371,60.52145,63.82169,63.83964,58.93483,62.40558,61.99096,59.49142
CT, Hartford County ,71.87657,75.58781,79.42812,74.08383,72.38844,76.64441,78.18014,78.68425,82.6678,74.46726,73.71106,73.46244,74.4356,75.30045,68.84178,70.30352
CT, Litchfield County ,69.55207,82.55575,84.4204,84.83439,82.7143,75.69662,94.36847,81.63652,82.02971,78.41486,83.78519,88.37475,81.07229,96.91583,80.49268,87.60665
CT, Middlesex County ,86.76483,63.69183,78.524,73.97553,76.80396,73.98684,86.8645,83.47093,83.65563,88.16052,80.29898,81.81681,85.79438,101.68322,88.11644,95.97926
CT, New Haven County ,75.88697,78.08405,85.85808,83.14142,83.48086,76.96285,87.03763,84.11454,83.46739,87.43932,81.18312,79.28158,88.06066,82.53044,85.0808,78.45666
CT, New London County ,88.51328,94.11009,77.44675,85.1514,73.71693,86.40382,80.86731,82.75791,76.29276,80.766,87.56823,85.64339,70.73399,85.58732,84.17477,80.9196
CT, Tolland County ,56.9913,61.18013,54.7899,68.8729,64.07373,67.72452,61.09269,54.10171,62.67194,62.3646,61.3521,68.58576,69.73409,62.54897,64.5765,56.03755
CT, Windham County ,76.93364,83.73532,75.62254,74.56526,83.10298,77.83043,89.05787,74.20422,69.55755,74.50555,70.83049,59.95356,77.96941,84.13502,88.95047,79.7496
GA, Appling County ,68.98138,57.29017,102.84539,33.83713,73.28072,56.27779,84.62623,88.96302,66.17769,71.64903,70.93747,92.13593,97.93786,87.18871,102.94755,86.78201
GA, Atkinson County ,65.86747,52.34917,77.43934,62.57822,62.61741,49.40711,48.79834,119.81788,47.81257,35.77391,71.77033,59.80146,96.91096,48.42615,97.5253,107.78443
GA, Bacon County ,49.35347,78.94997,99.0001,97.53243,58.34873,94.76876,121.70006,136.76149,72.81332,53.88899,108.29348,62.55585,143.01037,142.85714,98.10042,97.50909
GA, Baker County ,24.84472,124.84395,25.4907,96.99321,24.85089,75.6239,25.79314,53.96654,134.12017,56.17978,29.12056,120.51823,178.30609,90.38867,92.08103,31.64557
GA, Baldwin County ,98.46925,87.12358,70.79176,52.82504,76.14158,62.62958,81.69759,107.74041,77.31689,76.45422,61.27719,82.00718,90.35367,86.68704,87.26194,83.64333
GA, Banks County ,41.25413,59.90017,103.3258,56.83253,110.76923,71.92951,70.27407,102.5641,61.2711,71.39719,48.89179,92.71884,104.20666,43.71824,65.63115,75.8068
GA, Barrow County ,68.78762,58.12626,71.41582,68.89557,63.59936,53.55076,78.18226,105.00309,60.86518,61.27093,94.69969,70.14028,89.79348,81.31791,76.73125,73.22886
GA, Bartow County ,98.9506,70.014,87.83963,74.65211,64.89514,69.74118,104.32014,87.76146,96.53,84.16243,107.8544,88.73645,84.58721,91.89179,85.56676,76.07307
GA, Ben Hill County ,142.99605,115.50679,110.60659,99.44428,105.22624,81.19237,131.24108,118.51685,96.18105,85.31938,107.72196,68.27881,136.59647,120.57186,63.07339,92.19776
GA, Berrien County ,92.20556,67.10591,89.97661,88.14715,97.70676,62.02425,77.55803,131.47083,74.21937,99.64861,113.73624,82.57212,83.50731,78.85606,122.40553,110.72445
GA, Bibb County ,74.74473,70.98757,80.55662,83.28074,79.13907,87.66063,93.19785,81.01837,77.08053,74.76443,78.41272,93.07939,88.35449,99.63381,83.81304,77.50423
GA, Bleckley County ,77.2267,93.37068,136.08914,59.28686,91.52937,107.19881,87.62846,46.09711,123.2191,84.39466,76.693,107.17293,77.46533,86.2069,62.72542,78.23502
GA, Brantley County ,74.82993,66.25588,77.14065,87.98944,117.12489,54.43,94.70257,87.21944,90.94526,126.86855,86.69267,75.39041,70.12244,136.76149,108.75476,108.40696
GA, Brooks County ,115.44538,104.24971,92.42714,105.9124,55.80703,74.42322,91.97376,85.71604,194.23369,91.60305,92.23391,75.02344,95.8589,153.21757,109.43736,114.70813
GA, Bryan County ,46.86036,50.27863,61.53341,99.72476,57.55727,105.4336,47.53895,60.06643,61.69031,76.6999,49.37134,60.81557,68.17055,99.63768,53.18049,68.4697
GA, Bulloch County ,39.18356,49.28883,43.58362,67.4377,62.46712,63.44373,54.42896,47.13538,55.14815,64.14181,45.33862,75.70231,68.34149,59.82775,52.24445,46.43984
GA, Burke County ,58.35091,75.2812,61.87572,61.69575,56.85048,108.9847,74.31694,91.41564,77.97609,103.8197,85.69715,123.06387,51.87843,95.99441,79.26373,70.35441
GA, Butts County ,122.31792,94.12464,61.9254,69.63788,55.28425,122.42122,97.04883,116.45963,96.66302,101.34279,88.44712,110.33312,149.40664,90.41981,76.99876,84.9329
GA, Calhoun County ,110.67194,111.62494,47.17723,15.90837,79.28957,15.98465,62.99213,111.66055,61.95787,74.96252,59.66587,76.40587,92.46417,30.70782,15.56905,61.87162
GA, Camden County ,45.63709,53.97018,66.22663,47.11901,54.23464,32.1385,40.3517,75.59197,64.36948,45.97793,53.29017,47.69191,70.02937,66.03224,71.13743,64.70891
GA, Candler County ,93.89671,127.09172,20.46664,70.4438,49.80576,78.75566,48.13246,47.23219,65.47563,91.91176,118.02088,97.91704,107.85547,100.44745,146.95077,73.15958
GA, Carroll County ,78.46973,65.83856,75.46207,62.63091,64.14497,78.02899,68.96356,70.67657,72.56762,78.7808,75.88213,78.58653,86.14192,81.89935,73.65062,88.93617
GA, Catoosa County ,91.50498,104.323,103.52706,93.72722,84.93867,55.23475,86.75014,105.53415,94.83017,86.10702,73.39965,55.50074,92.30201,82.64083,108.25646,66.77087
GA, Charlton County ,38.78976,93.67681,82.49313,62.04574,61.52224,25.78427,66.17586,91.24088,47.60394,63.16621,77.89375,74.44353,52.50525,68.79156,77.39339,46.12192
GA, Chatham County ,89.89557,73.88426,71.45575,82.15784,75.16049,71.829,78.57559,82.94276,81.87441,75.15584,58.29391,64.73849,71.9656,69.06674,63.6382,62.80048
