State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,53.316228,45.11787811,49.10724667,48.41272952,44.13022983,44.60492042,42.43729941,42.79683867,38.31552496,43.70923947,36.40200231,33.4852244,32.20742352,30.2929499,23.8055577,13.47422473
CA, Alpine County ,82.71298594,83.61204013,0,81.10300081,0,0,0,0,0,0,0,0,0,0,0,90.4159132
CA, Amador County ,93.87534492,112.0542342,87.52495829,105.4225009,85.56149733,110.4100946,86.04281282,74.82712354,86.27902113,75.84078665,92.42388233,77.28387166,94.36760225,76.55293088,73.49138518,27.0080484
CA, Butte County ,90.2814918,91.6616956,86.55317521,76.12977052,82.13455988,72.17627775,82.09423311,68.51551256,77.61352119,70.52603321,61.36837847,60.45811798,61.03626006,53.12539394,42.41563753,28.41274845
CA, Calaveras County ,98.41308894,84.73755568,94.38414346,73.13449891,76.35302044,72.85572359,93.38690412,77.80755598,62.68237328,84.96732026,63.78953852,68.72699863,67.02412869,56.08273325,60.5530512,33.45227475
CA, Colusa County ,53.14343413,63.08484912,25.99833611,51.10384301,94.02682239,58.42259007,47.86979416,75.91933571,56.7805432,80,51.29161615,28.08199944,42.20794447,23.44995779,42.34098607,14.07261469
CA, Contra Costa County ,50.69216318,56.85142005,50.92553849,55.79571679,47.76184373,47.94732401,49.4587514,48.35743278,45.14610923,41.91195599,41.69535795,43.14687007,38.30308966,35.64801696,25.51857716,15.58005433
CA, Del Norte County ,87.46355685,62.28931555,83.95079753,72.46114271,93.02325581,63.64697146,88.617915,91.5009678,84.222347,97.90552117,80.52657377,108.9018478,56.71345527,46.70043467,55.04183179,36.62869492
CA, El Dorado County ,64.26489864,65.17650418,64.7719362,55.24829057,54.76164122,50.85627104,59.39821127,61.34140714,54.14457159,53.19885844,52.44185854,45.89108884,45.41476977,52.36265826,46.44022051,26.57857767
CA, Fresno County ,43.3052785,43.17231658,43.26541828,41.54897408,43.78451515,42.06448359,40.95661992,39.51188314,41.00568363,36.35463896,37.85672997,34.13092666,35.59192433,30.82530023,22.42639005,12.34402806
