State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,12.27722,11.50064,12.10583,10.31521,11.6205,14.42896,13.70732,15.93719,17.80386,14.81443,17.04486,16.25306,16.26443,20.7434,20.38701,22.17122
CA, Alpine County ,0,0,0,0,0,0,0,78.49294,83.19468,83.54219,0,90.17133,0,0,90.57971,0
CA, Amador County ,36.9812,22.41085,24.61639,32.43769,34.75936,39.43218,18.25151,38.70368,47.06128,33.99759,36.96955,45.30434,56.62056,46.47857,76.21329,70.22093
CA, Butte County ,21.58905,18.42934,21.99694,20.3328,20.65098,26.07659,26.74981,27.1303,28.76266,25.48037,35.0027,30.91092,36.62176,29.7142,50.89877,35.95988
CA, Calaveras County ,22.14295,26.6318,25.95564,25.13998,22.45677,26.49299,21.71788,36.74246,19.45315,63.18083,50.5917,33.255,33.51206,94.21899,60.55305,49.06334
CA, Colusa County ,15.94303,31.54242,5.19967,0,9.89756,14.60565,9.57396,28.46975,9.46342,14.11765,13.98862,14.041,23.44886,28.13995,4.70455,28.14523
CA, Contra Costa County ,18.57663,17.50859,18.6761,17.21465,19.85039,22.82253,23.68025,22.69232,25.79778,33.43322,28.30345,29.45243,35.42804,34.82537,38.32295,36.6799
CA, Del Norte County ,18.22157,25.64854,10.9501,14.49223,14.31127,35.35943,38.99188,17.59634,14.03706,6.99325,21.00693,14.05185,7.08918,21.55405,22.01673,36.62869
CA, El Dorado County ,32.45059,40.34736,23.60846,24.95084,32.62396,33.71371,29.98195,44.45845,31.81691,42.66992,41.40147,35.3859,50.95316,47.40199,55.72826,60.75103
CA, Fresno County ,10.23352,8.24087,12.77475,10.26921,13.35602,12.0348,12.33224,14.51001,11.43322,13.2396,14.90676,11.58963,14.57473,16.77567,17.54657,16.66444
CA, Glenn County ,3.78558,3.78072,15.00882,18.50755,14.74817,14.60227,25.31462,21.60216,17.84503,17.79359,14.23032,46.12219,21.47613,17.91152,25.01608,28.61128
CA, Humboldt County ,22.14104,18.82058,13.97733,18.49654,21.42278,21.29326,24.9824,32.57551,33.92207,33.64637,31.10374,31.79462,29.70378,32.70038,40.09951,33.97768
CA, Imperial County ,9.12857,8.35032,7.55287,9.39698,11.82196,5.12449,6.85337,7.89813,7.74192,10.46463,5.72243,10.2141,7.8968,3.95047,10.62248,8.34232
CA, Inyo County ,33.41688,16.55903,27.18278,32.27021,21.53084,27.05921,38.10561,27.13557,38.21378,21.57032,27.00805,16.30169,38.02694,10.85894,54.31831,87.66643
CA, Kern County ,14.76342,19.51006,16.71328,14.28027,16.56942,13.67115,14.78628,12.57343,14.90847,12.28713,12.11868,14.0085,14.48923,12.49344,17.77242,15.12228
CA, Kings County ,6.93188,10.53574,8.12594,12.91313,5.57099,11.71226,11.50888,3.98883,8.55111,11.82049,9.84459,11.19194,13.90342,12.62626,15.36724,9.31278
CA, Lake County ,20.4995,29.8909,19.50807,17.60113,14.25946,26.64117,28.03651,28.0912,32.61275,40.36452,40.15878,45.14181,32.84226,29.79177,37.44208,27.93036
CA, Lassen County ,11.86275,5.96161,14.95663,5.89449,17.4125,14.4978,14.44878,11.23122,5.67843,8.53242,14.35214,8.74942,17.82425,21.777,18.91909,22.34066
CA, Los Angeles Registry ,12.27696,13.14145,12.64178,12.19394,12.79451,13.04876,13.06229,14.23659,13.73374,12.95543,13.10878,12.76233,12.81954,13.55907,14.57292,14.21048
CA, Madera County ,13.75549,13.53708,13.24307,13.56055,13.85789,20.66808,22.97698,17.11543,26.28759,18.76248,22.5018,17.7676,17.11123,15.15042,24.0149,26.57058
CA, Marin County ,30.70459,27.03073,28.02315,28.56513,34.45885,50.36731,56.01439,56.04106,60.78954,60.98971,63.25461,59.50121,61.70332,64.60198,75.2353,80.44313
CA, Mariposa County ,35.08567,29.24148,5.79945,45.17987,39.22887,33.38527,16.46633,27.22422,32.58744,43.92708,43.81161,21.99252,55.99731,73.25595,22.65262,62.66735
CA, Mendocino County ,23.14627,24.18213,25.182,38.57499,23.8555,40.91793,32.05679,35.60313,42.30118,35.33891,31.88812,35.45207,33.17736,33.25421,33.16219,49.22556
CA, Merced County ,12.24924,11.88213,10.65005,9.06208,10.96214,7.83331,10.19002,7.2423,8.38196,11.89051,15.57444,7.31675,13.3879,12.94444,17.34939,14.22683
CA, Modoc County ,10.63151,10.69519,85.45183,42.10083,31.23373,10.45478,41.59301,31.49606,10.47011,51.83496,20.62919,10.52964,53.60206,43.95604,11.09878,11.19445
