State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,5.310930861,4.219168089,4.445642108,3.369636004,4.219347993,5.341491247,3.530672545,3.915601612,4.129411701,3.336583165,3.171136317,1.827653573,2.764309803,1.644293732,1.429576572,0.489971808
CA, Alpine County ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA, Amador County ,14.22353711,11.20542342,16.41092968,13.51570525,13.36898396,15.77287066,7.822073893,18.06171948,18.30161054,2.61519954,13.20341176,5.329922183,10.78486883,0,0,0
CA, Butte County ,11.77584676,9.214667811,10.99846978,10.40282579,8.917466501,6.984801073,11.99129248,12.41556268,11.87030324,6.825099988,7.727869881,5.454867788,5.877565784,4.051936826,3.125362765,0.887898389
CA, Calaveras County ,12.30163612,19.36858416,14.15762152,9.141812364,6.737031215,6.623247599,10.85894234,8.645283998,4.322922295,10.89324619,13.19783555,6.650999867,8.936550492,8.97323732,4.4854112,0
CA, Colusa County ,10.62868683,21.02828304,0,0,4.948780126,9.737098345,4.786979416,18.97983393,0,4.705882353,9.325748391,0,0,4.689991558,0,0
CA, Contra Costa County ,7.976406629,7.621386021,7.245918303,5.670708059,5.94503962,7.207113421,7.493750212,5.450120497,5.276817962,6.262706067,4.558945744,4.314687007,4.451690808,2.467939636,2.43463457,0.801259937
CA, Del Norte County ,14.57725948,7.328154771,3.650034675,7.246114271,0,7.071885718,21.2682996,0,3.509264458,0,7.002310763,7.025925666,0,3.592341129,0,0
CA, El Dorado County ,9.544291877,17.38040111,7.264142377,10.69321753,8.738559769,7.428444084,6.222669752,11.25530406,8.372871895,9.974785958,7.72827389,4.976142163,6.092225213,5.511858764,2.731777677,1.084839905
CA, Fresno County ,5.241561087,3.074951324,3.736011049,3.89521632,5.690825576,4.470067739,3.281055187,3.68331114,3.957653112,3.472681931,2.681071528,2.44551811,2.006666357,1.992111239,1.349736438,0.308600702
CA, Glenn County ,0,0,11.25661326,11.10453065,3.687043728,7.301135327,14.46549978,0,3.569006745,0,3.557579423,17.7393032,7.158708569,3.582303421,0,0
CA, Humboldt County ,11.86127058,6.273525721,5.43562665,7.706891502,11.4764885,3.041894492,8.327466255,14.39383035,10.5535328,5.233879651,6.665086794,5.915278425,2.22778343,4.459143101,1.485166896,0.738645177
CA, Imperial County ,4.915385156,5.566882615,4.806371876,6.040917145,6.567756257,2.562246578,4.984268403,1.822644536,4.764258532,4.069578159,0.572242791,2.837249684,1.128114301,0.564353195,0.559077745,0
CA, Inyo County ,22.27791701,11.0393553,5.436555398,16.13510461,0,10.82368222,16.33097441,10.85422772,10.91822251,10.78515962,5.40160968,0,16.29726206,5.42947117,0,5.479151827
CA, Kern County ,6.779119709,7.981388584,6.915838567,5.74011021,6.654932256,5.652495117,4.078974036,4.232640882,5.865625844,4.216171548,2.970264092,2.236651897,2.804367335,1.735199328,1.375929039,0.568506771
CA, Kings County ,4.621250048,6.020424289,2.954886274,6.456565251,2.785495923,4.82269699,4.738951473,1.329610424,3.288889474,3.940162072,1.312611572,4.608446624,5.296540035,0,2.004423094,0.665198795
CA, Lake County ,13.6663364,8.303027284,9.754035732,8.000512033,3.168768617,4.701383774,7.787919379,9.363734257,15.52987949,4.657444926,9.267411149,10.89629837,10.9474211,10.9759157,4.680260222,0
CA, Lassen County ,2.965687001,5.961607249,8.973975471,0,8.706251088,2.899559267,2.889755816,2.8078057,0,2.844141069,5.740857684,2.916472235,2.970708811,3.111000498,0,6.383046628
CA, Los Angeles Registry ,5.661450898,5.443571049,4.883620943,4.914435078,4.43161794,4.301900203,4.313020547,4.123558726,3.90338225,3.351247522,3.053288122,2.689999956,2.139938946,1.697379924,1.241728227,0.425226619
CA, Madera County ,5.664026152,4.777792819,7.790042767,4.520182615,3.646813414,7.839615716,7.658993747,6.161555998,7.414447388,2.680354343,2.647270995,1.974177755,1.316248429,1.317427591,3.245257057,0.64806294
CA, Marin County ,8.888170653,10.4895387,10.96558026,8.977613098,8.61471311,14.74165254,15.53683866,17.05597609,16.10318924,11.56014064,9.488191155,11.35220409,6.638965259,6.189411464,2.303121497,3.064500065
CA, Mariposa County ,17.54283375,29.24147611,5.799454851,11.29496809,22.41649854,11.12842199,10.97755091,10.88968747,21.72496198,10.98177026,5.47645126,16.49439191,5.599731213,33.81043615,0,0
CA, Mendocino County ,10.41582279,10.36376827,9.157089877,12.48014522,11.35976372,13.63930849,10.30396703,9.187904124,12.5760278,6.839789334,7.972029565,11.43615196,6.86428171,8.026878576,3.430570961,1.144780374
CA, Merced County ,5.653497159,4.11304475,6.656282865,4.746801303,5.48106923,4.122793275,4.076009424,4.023497224,2.793987339,3.963504055,3.504249876,1.925461533,1.912557855,1.522875494,1.508642637,0.748780424
CA, Modoc County ,10.6315118,10.69518717,32.04443495,10.52520787,0,10.45478306,20.79650619,10.49868766,0,20.733983,10.31459515,0,10.72041166,21.97802198,0,0
CA, Mono County ,0,7.562008469,7.460459564,7.489514679,0,0,7.276431638,0,7.213966239,7.138777841,7.01951425,6.941070313,6.980802792,7.132667618,7.11997152,0
CA, Monterey County ,5.707337651,5.649967328,6.357325718,5.369455122,7.095131027,5.430235055,4.479495111,5.467522914,4.186965238,1.949968679,4.562755905,3.32417602,2.583378542,2.336099275,0.465222306,0.462955461
CA, Napa County ,9.633524666,9.462379158,10.09755794,13.06305614,10.73726675,6.902846274,8.368837492,13.5764012,8.949012998,11.82732111,4.385548157,7.249528781,4.319716627,5.71012548,3.543661453,1.40990032
CA, Nevada County ,12.97016861,10.67065038,8.452460194,12.5515135,9.325265252,14.39588689,3.075377503,21.47371004,11.20162933,8.114330923,13.16029236,8.099461386,5.086211281,7.131504951,4.048746913,2.023697498
CA, Orange County ,8.547867885,8.317573265,8.905714615,7.305310073,8.396474025,7.891008842,7.53684614,7.163252922,6.255086484,5.389704058,4.937621929,3.732951219,3.047065821,3.02000658,2.584195317,0.918717863
CA, Placer County ,11.95161984,8.34550386,9.750566075,7.223296162,11.5572198,12.46954553,8.386812204,9.421833732,10.07204474,11.34347459,4.282850894,5.885930664,4.98590098,4.366395131,2.699157323,1.068424581
CA, Plumas County ,9.63669654,4.803073967,9.584970766,14.31502601,14.28571429,14.2789148,4.816491667,0,14.69867712,9.916208042,15.06175319,10.15692448,5.17410876,5.306728932,0,0
CA, Riverside County ,10.51966504,8.783682639,8.416575438,6.716879575,7.971809956,7.40248009,5.764347511,7.758351914,5.356181318,5.869405723,5.221989024,4.650859112,4.371017242,3.840359737,1.851489049,0.97752043
CA, Sacramento County ,7.723954014,7.739345172,6.225601981,6.473315263,6.227148589,6.687164172,4.892071413,5.430214146,4.733089603,4.259545464,4.360001069,3.972119899,2.142014157,2.123254223,1.353054554,0.668161567
CA, San Benito County ,7.437570889,3.660054169,5.448997384,1.811659843,9.11593648,3.65985324,1.847609194,3.698772008,0,1.837019619,5.400151204,3.561316975,1.760594377,1.740008004,0,0
CA, San Bernardino County ,5.529566593,5.963432234,5.222828651,5.145941613,5.213091706,4.681252971,4.812222031,3.865149453,4.491611915,2.979205148,3.771621925,3.393207284,3.032860319,2.682062985,1.756939317,0.282679519
CA, San Diego County ,8.523834551,10.8374755,9.378162328,9.503544445,8.70305088,9.32488195,7.871640684,7.225088734,6.485522065,5.259370254,6.056025971,4.807857631,3.237453375,2.73426176,1.810451275,0.820607584
CA, San Francisco County ,6.170577913,4.226082614,4.52943681,4.69875744,4.071848422,4.456000923,3.902946725,4.623250068,3.665540882,5.362117513,3.102637738,1.961572789,1.327194456,1.787246211,0.823118821,0.232017485
CA, San Joaquin County ,5.282759714,5.074364816,5.746739546,3.98865308,4.666370093,5.327366683,3.771808597,3.742066818,4.317455024,3.836302041,4.509878088,1.870657018,1.85552325,2.986072107,1.542305438,0.414653295
CA, San Luis Obispo County ,9.280218206,9.146511202,15.80509161,13.74305975,12.4590215,13.53363107,13.43580373,11.41682841,9.385864138,10.06917899,11.11485723,4.425170369,8.379267506,6.517229019,3.585810232,1.067767654
CA, San Mateo County ,6.781385098,6.377361218,7.883857873,7.647278651,6.810005202,7.245557749,5.650732567,7.782673175,6.535669125,5.18485406,4.444845715,2.880978545,4.054152669,3.070957818,1.981979839,0.655143994
CA, Santa Barbara County ,8.750218755,11.40974889,10.85942475,11.55330498,10.55774349,7.841618902,9.556832523,10.45610503,9.137712542,7.612595038,5.655095712,5.868572153,4.179844788,2.294630564,2.950836789,0.675957325
CA, Santa Clara County ,4.391829535,5.627688702,4.852193791,5.650423902,4.810100249,4.834920301,5.203532016,5.081698526,4.824913094,3.625780888,3.638120111,2.813221922,2.12073162,1.874704399,1.693279374,0.209412572
CA, Santa Cruz County ,7.035784783,7.420570603,7.464709603,10.27582691,6.340249489,11.13864833,3.97431006,5.132173199,6.627163574,10.38425593,4.178220078,3.020053153,6.005217032,1.859095439,4.428518181,0
CA, Shasta County ,10.39024539,13.82145089,14.10122328,12.12457131,9.721674187,11.95797625,11.35292849,15.85970954,8.462766648,8.461239064,9.02323483,11.23829111,9.527545816,7.260055176,7.790025429,1.673164121
CA, Sierra County ,0,0,28.71912694,0,0,29.60331557,29.20560748,29.64719834,30.12048193,0,0,0,0,0,0,0
CA, Siskiyou County ,2.261522457,11.38744648,13.64721938,9.031995845,22.52556652,2.240093188,20.23062917,6.746879568,13.39883877,8.930963651,2.225387217,6.715465718,9.060638322,2.291895856,2.300119606,0
CA, Solano County ,3.526679329,5.93752242,5.144209335,4.162493971,5.375017408,6.614712591,5.386849232,4.164186526,6.846434475,4.387140803,4.347469048,3.841665746,3.810603481,2.358646326,3.02606372,0
