State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,9.31137,8.43834,9.64362,9.6963,9.89126,11.30731,11.69968,10.71638,10.49277,13.01267,11.95783,12.7283,11.50724,13.28083,12.36895,13.8417
CA, Alpine County ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA, Amador County ,17.06824,11.20542,5.47031,21.62513,18.71658,18.40168,2.60736,10.32098,36.60322,13.076,15.84409,10.65984,18.87352,27.34033,19.05332,18.90563
CA, Butte County ,16.19179,14.06449,19.60597,10.87568,16.89625,17.22918,17.52574,13.79507,17.3489,12.28518,16.3649,17.72832,17.18058,15.75753,15.62681,13.31848
CA, Calaveras County ,14.76196,4.84215,11.79802,13.71272,13.47406,15.45424,26.06146,6.48396,10.80731,15.25054,13.19784,24.387,37.98034,15.70317,13.45623,20.07136
CA, Colusa County ,10.62869,0,10.39933,10.22077,14.84634,0,23.9349,4.74496,0,4.70588,9.32575,23.40167,9.37954,9.37998,14.11366,28.14523
CA, Contra Costa County ,8.29126,10.09319,10.30757,9.72121,13.2,12.01186,11.29058,11.89117,11.43311,13.10351,13.77182,11.4433,14.468,11.97408,14.96849,11.3957
CA, Del Norte County ,14.57726,10.99223,3.65003,10.86917,14.31127,7.07189,21.2683,14.07707,3.50926,27.97301,28.00924,10.53889,10.63377,17.96171,22.01673,21.97722
CA, El Dorado County ,13.36201,16.13894,13.31759,12.47542,8.73856,9.1427,18.10231,15.19466,18.97851,18.28711,13.24847,19.35166,21.59971,15.4332,13.65889,18.44228
CA, Fresno County ,6.23995,7.25689,8.7977,8.14454,8.82659,7.3355,7.58037,9.93378,10.77361,10.201,11.04601,10.63269,10.03333,11.00904,11.6285,11.62396
CA, Glenn County ,7.57117,15.12287,7.50441,18.50755,7.37409,3.65057,7.23275,7.20072,17.84503,14.23488,10.67274,17.7393,10.73806,17.91152,3.57373,10.72923
CA, Humboldt County ,7.90751,10.97867,10.87125,15.41378,6.88589,18.25137,10.59859,7.5757,9.04589,12.71085,5.92452,10.35174,17.07967,14.86381,8.16842,14.03426
CA, Imperial County ,11.23517,12.52549,9.61274,8.05456,6.56776,6.40562,7.4764,4.86039,10.12405,9.88326,9.72813,12.4839,5.07651,7.90094,11.74063,12.79156
CA, Inyo County ,16.70844,16.55903,16.30967,21.51347,10.76542,21.64736,5.44366,0,21.83645,10.78516,10.80322,16.30169,10.86484,10.85894,21.72732,16.43746
CA, Kern County ,8.88818,9.16382,7.49216,9.66019,8.01308,9.20174,9.5601,10.83058,8.67624,8.31188,8.91079,6.59224,6.42668,10.06416,11.23675,9.55091
CA, Kings County ,6.16167,8.27808,9.60338,7.17396,11.14198,10.33435,3.38497,3.32403,6.57778,10.5071,10.50089,4.60845,11.91722,5.31632,5.34513,9.31278
CA, Lake County ,15.37463,14.94545,13.00538,25.60164,26.93453,20.37266,18.69101,24.96996,18.63586,13.97233,13.90112,12.45291,17.20309,12.5439,20.28113,26.37867
CA, Lassen County ,0,8.94241,14.95663,5.89449,11.60833,5.79912,5.77951,14.03903,28.39215,11.37656,8.61129,14.58236,5.94142,6.222,15.76591,9.57457
CA, Los Angeles Registry ,8.43976,8.74711,8.97391,8.60026,9.26147,10.36135,9.34488,9.83469,9.88172,10.36026,10.9613,10.78023,11.03123,11.55217,11.53317,11.64923
CA, Madera County ,6.47317,11.94448,7.79004,9.04037,9.48171,5.70154,9.74781,8.90003,13.48081,15.41204,11.2509,9.21283,13.82061,15.15042,9.08672,11.66513
CA, Marin County ,7.67615,6.85854,11.77785,10.20183,15.1783,15.97012,15.12797,11.77675,21.33673,15.14777,15.02297,14.48385,17.57373,13.92618,21.4958,18.00394
CA, Mariposa County ,23.39045,11.69659,11.59891,16.94245,16.81237,27.82105,5.48878,21.77937,10.86248,10.98177,27.38226,16.49439,16.79919,16.90522,11.32631,17.0911
CA, Mendocino County ,9.25851,18.42448,17.16954,5.67279,18.17562,18.18574,9.15908,17.22732,17.14913,14.81954,19.36064,12.57977,19.4488,14.90706,6.86114,18.31649
CA, Merced County ,11.77812,8.68309,8.43129,7.76749,10.1189,9.48242,9.37482,10.05874,7.18454,13.07956,11.29147,10.39749,10.71032,12.94444,10.93766,9.73415
CA, Modoc County ,0,10.69519,10.68148,10.52521,0,52.27392,0,10.49869,10.47011,10.36699,30.94379,21.05928,10.72041,43.95604,44.39512,22.3889
CA, Mono County ,0,7.56201,0,14.97903,0,0,0,0,7.21397,7.13878,7.01951,6.94107,20.94241,0,0,14.40403
CA, Monterey County ,8.43693,6.14127,7.8244,7.56605,11.49901,13.32876,9.20785,10.68652,11.32944,10.23734,9.6058,14.00903,11.50778,10.97967,11.86317,11.57389
CA, Napa County ,22.47822,11.82797,12.42776,10.75781,16.87285,9.2038,16.73767,15.83913,20.13528,22.17623,18.27312,10.87429,17.27887,14.27531,18.42704,17.62375
CA, Nevada County ,20.5361,12.80478,8.45246,10.45959,15.54211,26.73522,18.45227,22.49627,20.3666,16.22866,19.23427,16.19892,24.41381,12.22544,18.21936,20.23697
CA, Orange County ,9.07335,7.93635,9.14641,9.01216,9.99418,10.81612,9.85588,9.65334,11.19153,9.87554,11.26706,11.5918,11.70203,11.98364,13.24001,13.08381
CA, Placer County ,12.35001,14.41496,12.27849,14.10263,14.52908,13.42874,13.97802,14.28472,13.92312,11.05262,15.41826,16.25638,14.12672,13.91788,17.00469,18.69743
