State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,8.966506649,8.234182883,9.506834662,9.489995276,9.752919132,10.68298249,11.42276412,10.16682524,9.680424152,11.87823607,11.36323847,11.87974823,10.02865882,11.44681405,9.447636475,6.185894079
CA, Alpine County ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA, Amador County ,17.06824453,11.20542342,5.470309893,21.6251284,18.71657754,18.40168244,0,7.740736918,33.98870529,13.0759977,15.84409411,10.65984437,18.87352045,16.40419948,13.60951577,10.80321936
CA, Butte County ,16.19178929,14.06449298,19.60596787,10.40282579,15.95757163,16.76352257,17.0645316,12.87539833,16.89235461,11.37516665,15.91032034,15.91003105,15.37209513,14.85710169,11.60849027,5.771339528
CA, Calaveras County ,14.76196334,4.842146039,11.79801793,13.71271855,13.47406243,15.4542444,26.06146161,6.483962998,10.80730574,15.25054466,13.19783555,22.16999956,29.0437891,13.45985598,11.213528,8.920606601
CA, Colusa County ,10.62868683,0,10.39933444,10.2207686,14.84634038,0,19.14791766,4.744958482,0,4.705882353,9.325748391,18.72133296,9.379543216,4.689991558,9.409108017,4.690871564
CA, Contra Costa County ,8.291264785,9.784211784,10.00140836,9.214900596,12.69618631,11.81165811,10.89091698,11.39570649,10.74907363,12.62176146,12.8220349,9.848742081,11.77843193,10.87721543,10.27956819,5.430761793
CA, Del Norte County ,14.57725948,10.99223216,3.650034675,10.86917141,14.31127013,7.071885718,21.2682996,14.07707197,3.509264458,27.97300605,24.50808767,10.5388885,7.089181908,17.96170564,18.34727726,18.31434746
CA, El Dorado County ,13.36200863,14.27675806,12.71224916,12.47542045,8.738559769,9.142700411,18.102312,14.06913008,18.97850963,18.28710759,11.59241084,17.14004523,19.38435295,12.67727516,9.288044102,6.509039429
CA, Fresno County ,6.115154601,7.133887071,8.677186952,8.026506357,8.245890121,6.87702729,7.240949379,9.598932063,10.66367644,9.441353999,10.50980039,9.037784318,8.871577578,9.226620478,8.098418628,5.96628023
CA, Glenn County ,7.571168988,11.34215501,7.50440884,18.50755108,7.374087457,3.650567663,7.232749892,7.200720072,17.84503373,10.67615658,10.67273827,17.7393032,10.73806285,14.32921368,3.573725967,3.57641
CA, Humboldt County ,7.90751372,10.97867001,10.8712533,15.413783,6.8858931,18.25136695,10.59859342,7.575700184,9.045885253,12.71085058,5.924521595,9.61232744,13.36670058,12.63423879,6.68325103,5.170516239
CA, Imperial County ,10.53296819,12.52548588,8.926119198,8.054556194,6.567756257,6.405616444,6.853369054,4.860385429,9.528517065,8.720524627,8.011399076,11.91644867,4.512457202,6.772238338,8.945243926,6.673859604
CA, Inyo County ,16.70843776,16.55903295,16.3096662,21.51347281,10.76542147,21.64736443,5.443658138,0,16.37733377,10.78515962,10.80321936,16.30168994,10.86484137,10.85894234,16.29549158,5.479151827
CA, Kern County ,8.888179174,8.868209538,7.203998507,9.520182788,7.877266751,8.938829487,9.177691581,10.08364445,8.309636612,7.70957083,8.079118331,6.356800128,5.608734669,7.750556999,8.599556492,4.77545688
CA, Kings County ,5.391458389,8.278083398,8.864658821,6.456565251,9.74923573,8.956437267,3.384965338,3.32402606,5.262223158,9.85040518,10.50089258,3.291747589,10.59308007,3.322700691,4.676987218,6.651987947
CA, Lake County ,15.37462845,14.94544911,13.00538098,25.6016385,26.93453324,20.37266302,15.57583876,24.96995802,18.63585539,13.97233478,13.90111672,10.89629837,15.639173,9.407927747,15.60086741,18.6202402
CA, Lassen County ,0,8.942410874,11.96530063,5.894488653,11.60833478,5.799118534,5.779511631,14.0390285,22.71372193,11.37656428,8.611286526,14.58236118,5.941417622,6.222000996,9.459544681,0
CA, Los Angeles Registry ,8.251040475,8.497788393,8.654518127,8.323824413,8.904080285,9.901523271,8.995728569,9.236771546,9.234580639,9.634836627,10.23869283,9.758834425,9.624701928,9.665080981,8.463619598,5.468612095
CA, Madera County ,6.473172745,11.14818324,7.790042767,9.040365231,8.752352195,5.701538703,9.051538065,8.900025331,12.80677276,14.74194889,11.25090173,6.580592517,11.18811164,13.8329897,5.192411291,6.480629399
CA, Marin County ,7.676147382,6.45510074,11.37171286,10.20183307,14.76807962,15.15114289,14.71911031,11.77674539,20.53156628,13.55326833,12.65092154,12.91802534,14.05898525,12.37882293,14.97028973,7.278187655
