State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,16.4156,14.76709,15.18358,13.27224,15.21732,15.05329,14.53806,15.7998,17.05921,14.94789,17.57338,15.73088,14.46441,17.07536,15.66319,15.98533
CA, Alpine County ,0,0,0,0,0,0,0,0,83.19468,0,0,0,0,0,0,0
CA, Amador County ,39.8259,36.41763,35.55701,62.17224,26.73797,36.80336,33.89565,41.28393,88.89354,44.45839,44.8916,26.64961,29.65839,43.74453,65.32568,27.00805
CA, Butte County ,34.34622,26.67404,33.9518,33.57276,36.13921,27.47355,32.74545,31.26882,30.13231,28.21041,35.0027,34.09292,35.26539,27.01291,25.89586,31.52039
CA, Calaveras County ,44.28589,36.3161,35.39405,41.13816,35.93083,46.36273,41.26398,25.93585,23.77607,28.32244,35.19423,31.038,35.7462,31.40633,49.33952,49.06334
CA, Colusa County ,15.94303,10.51414,5.19967,20.44154,24.7439,9.7371,9.57396,18.97983,18.92685,14.11765,0,14.041,23.44886,0,18.81822,18.76349
CA, Contra Costa County ,16.68748,20.70133,17.96171,21.97399,19.44733,20.62035,20.78267,21.89958,22.37762,21.77495,21.37006,22.41761,23.09315,18.64666,22.09205,20.20956
CA, Del Norte County ,40.08746,51.29708,14.60014,21.73834,14.31127,28.28754,21.2683,28.15414,35.09264,17.48313,21.00693,17.56481,14.17836,21.55405,33.0251,21.97722
CA, El Dorado County ,23.54259,30.4157,23.60846,25.54491,25.05054,29.14236,18.66801,30.95209,34.04968,30.47851,30.36108,32.06847,25.47658,30.86641,34.96675,24.4089
CA, Fresno County ,15.72468,15.00576,13.73888,13.10209,17.07248,13.86867,12.10596,13.28224,14.8412,14.21629,14.15606,15.20474,13.62421,16.14659,12.25145,9.66949
CA, Glenn County ,30.28468,34.02647,22.51323,22.20906,33.18339,25.55397,21.69825,25.20252,35.69007,28.46975,28.46064,28.38289,28.63483,28.65843,7.14745,32.18769
CA, Humboldt County ,29.2578,19.60477,25.6251,19.26723,25.24827,22.81421,24.9824,21.21196,24.87618,29.16019,30.36317,28.83698,42.32789,26.01167,23.76267,25.11394
CA, Imperial County ,11.93736,9.74204,15.79236,9.39698,7.22453,11.53011,9.3455,14.58116,11.31511,8.13916,10.30037,11.91645,6.76869,10.72271,14.53602,7.78617
CA, Inyo County ,33.41688,27.59839,48.929,5.37837,37.67898,48.70657,54.43658,43.41691,21.83645,43.14064,32.40966,32.60338,16.29726,27.14736,27.15915,10.9583
CA, Kern County ,14.31147,13.89353,15.70472,13.72026,13.71731,16.82603,12.23692,14.06731,15.15287,15.66007,14.25727,12.00729,13.90499,13.53455,13.52997,12.16604
CA, Kings County ,10.01271,12.7934,9.60338,11.47834,8.35649,5.51165,14.89385,11.96649,9.86667,18.38742,12.46981,9.87524,17.87582,8.63902,7.34955,2.6608
CA, Lake County ,51.24876,41.51514,45.51883,41.60266,39.60961,47.01384,56.07302,45.25805,38.8247,43.46949,33.98051,32.6889,31.27835,45.47165,32.76182,37.24048
CA, Lassen County ,11.86275,11.92321,14.95663,20.63071,5.80417,11.59824,20.22829,14.03903,34.07058,11.37656,17.22257,26.24825,20.79496,12.444,18.91909,25.53219
