State,Count,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, Alameda County ,11.44953926,10.07156253,10.1907796,8.389705968,8.438695986,8.463141976,6.369056355,7.762508458,8.055737581,6.539703004,7.399318074,4.569133934,5.014329411,4.300460529,2.548375628,1.347422473
CA, Alpine County ,0,0,0,0,0,0,0,0,83.19467554,0,0,0,0,0,0,0
CA, Amador County ,31.29178164,28.01355856,27.35154947,40.54711575,8.021390374,18.40168244,23.46622168,12.9012282,28.75967371,18.30639678,15.84409411,2.664961092,10.78486883,10.93613298,19.05332208,2.70080484
CA, Butte County ,26.4956552,22.79417827,25.34429992,24.11564159,23.46701711,15.83221577,18.44814227,16.55408357,16.89235461,11.37516665,13.63741744,15.45545873,12.20725201,7.203443246,7.590166716,3.107644361
CA, Calaveras County ,41.8255628,24.2107302,28.31524304,22.85453091,15.7197395,30.9084888,28.23325008,6.483962998,4.322922295,8.71459695,17.59711407,13.30199973,8.936550492,13.45985598,8.9708224,4.460303301
CA, Colusa County ,15.94303024,10.51414152,0,10.2207686,4.948780126,4.868549172,4.786979416,14.23487544,9.463423867,0,0,4.68033324,4.689771608,0,0,0
CA, Contra Costa County ,11.54479907,13.9038799,10.91990505,13.06288106,12.79694969,11.11096652,11.790167,10.20658929,10.16276052,10.405727,8.737979342,7.128613316,6.677536212,4.935879272,3.60686603,1.780577637
CA, Del Norte County ,29.15451895,36.64077385,10.95010403,18.11528568,3.577817531,17.6797143,7.0894332,17.59633996,21.05558675,3.496625756,7.002310763,7.025925666,0,10.77702339,7.338910906,0
CA, El Dorado County ,13.99829475,22.34623,15.73897515,16.03982629,13.98169563,19.42823837,10.1825505,14.06913008,18.42031817,10.52894073,14.35250865,11.0580937,5.538386557,7.165416393,6.009910889,4.881779571
CA, Fresno County ,11.48151476,11.56181698,9.520802351,9.324911797,10.56867607,8.137815627,7.693508715,7.589853259,7.805371415,5.860150758,6.327328806,5.847978088,5.069472902,4.508462279,3.010950516,0.925802105
CA, Glenn County ,22.71350697,30.24574669,15.00881768,7.403020432,18.43521864,21.90340598,14.46549978,18.00180018,10.70702024,14.23487544,0,14.19144256,7.158708569,7.164606842,0,0
CA, Humboldt County ,23.72254116,13.33124216,17.85991614,15.413783,16.83218313,15.96994608,16.65493251,10.60598026,14.32265165,15.70163895,11.10847799,16.26701567,12.6241061,5.945524135,5.940667583,3.693225885
CA, Imperial County ,9.128572432,6.262742942,12.35924197,8.054556194,6.567756257,5.7650548,6.853369054,10.32831904,4.764258532,2.906841542,5.722427912,6.241949304,1.692171451,3.950472364,3.913544217,0.556154967
CA, Inyo County ,27.84739627,22.0787106,32.61933239,5.378368203,37.67897513,16.23552333,38.10560697,32.56268317,5.459111257,21.57031924,10.80321936,10.86779329,10.86484137,5.42947117,5.431830527,0
CA, Kern County ,10.99723864,10.78965494,11.38231764,8.680166659,9.914490911,10.51626998,7.775544256,7.593855699,7.576433382,8.673267184,7.128633821,6.239081607,5.608734669,4.858558119,2.751858078,1.705520314
CA, Kings County ,9.242500096,7.525530362,5.909772548,7.17396139,4.874617865,2.755826851,8.800909879,5.983246909,5.262223158,10.50709886,4.594140502,5.266796142,5.296540035,3.322700691,0.668141031,0
CA, Lake County ,35.87413304,38.19392551,29.2621072,28.80184332,25.35014893,29.77543057,37.38201302,17.16684614,21.74183128,13.97233478,16.99025377,12.45291242,9.3835038,15.67987958,3.120173482,3.103373367
CA, Lassen County ,8.897061004,11.9232145,14.95662579,11.78897731,2.902083696,11.59823707,11.55902326,8.4234171,19.87450669,8.532423208,5.740857684,11.66588894,2.970708811,6.222000996,3.15318156,0
CA, Los Angeles Registry ,10.73578837,9.827515673,9.818756875,9.767439718,9.578012967,8.235941957,8.122855363,7.834761579,7.09799246,6.498150684,6.401727428,5.774398401,4.571231083,3.724251246,3.268228695,1.503126652
CA, Madera County ,11.3280523,10.35188444,11.68506415,5.273546385,9.481714878,3.563461689,9.051538065,9.584642664,10.78465075,11.39150596,7.941812984,9.870888775,3.290621072,5.928424159,5.192411291,2.592251759
CA, Marin County ,19.39237233,15.73430805,16.24530409,17.9552262,18.46009952,13.92267184,20.85207294,17.86816543,12.88255139,7.175259705,7.116143367,8.612016895,10.15371157,4.642058598,3.070828663,1.915312541
CA, Mariposa County ,5.847611251,29.24147611,28.99727426,16.94245214,28.02062318,22.25684398,16.46632636,21.77937493,10.86248099,5.490885131,10.95290252,16.49439191,0,5.635072692,0,5.697031846
CA, Mendocino County ,18.5170183,20.72753653,14.88027105,29.49852507,26.12745655,17.04913561,12.59373748,22.96976031,22.8655051,20.519368,12.52747503,5.718075982,14.87261037,8.026878576,4.574094615,1.144780374
CA, Merced County ,8.480245739,10.51111436,13.31256573,10.35665739,10.96213846,8.24558655,7.744417905,8.851693892,9.180244115,7.530657704,3.893610974,4.236015373,5.355161994,3.807188734,3.017285273,2.246341272
CA, Modoc County ,21.2630236,21.39037433,21.36295663,10.52520787,10.41124414,20.90956613,0,0,10.47010784,10.3669915,10.31459515,21.05928188,64.32246998,10.98901099,0,0
CA, Mono County ,0,7.562008469,0,22.46854404,0,7.421701054,14.55286328,7.311010382,0,0,0,0,20.94240838,0,7.11997152,7.202016565
CA, Monterey County ,12.15911065,10.07168089,8.068913411,10.98297639,13.21162329,11.84778557,7.963546864,10.93504583,7.388762185,4.631175612,5.763481143,5.223705174,4.462199301,5.139418405,3.721778452,1.620344115
CA, Napa County ,20.06984305,18.92475832,17.08817498,23.82086708,16.10590013,21.47552174,16.73767498,12.82215669,14.16927058,12.56652868,13.15664447,12.32419893,15.83896096,8.56518822,7.796055196,1.40990032
CA, Nevada County ,27.02118461,32.01195113,27.47049563,25.10302701,21.75895225,20.5655527,15.37688751,24.54138291,14.25661914,16.22866185,15.18495272,15.1864901,11.18966482,11.20665064,8.097493826,1.011848749
CA, Orange County ,11.24535078,12.40704679,10.55619454,10.20695192,11.59189329,9.1494887,9.992289227,9.516893168,7.675160172,8.335629258,6.826510854,5.435700898,5.089248234,3.983838467,2.839424484,1.488956536
CA, Placer County ,11.95161984,17.44968989,17.33433969,12.38279342,11.22701352,15.6668649,11.18241627,14.8925759,8.887098303,11.92519124,8.851225181,9.249319614,11.63376895,8.732790263,3.50890452,4.00659218
CA, Plumas County ,24.09174135,24.01536984,14.37745615,28.63005201,4.761904762,4.759638267,14.449475,9.67726327,9.799118079,0,10.04116879,15.23538672,15.52232628,0,16.15247941,5.434487256
CA, Riverside County ,16.48508485,12.86623936,13.63248134,12.92575985,13.08885013,12.78610197,9.88883754,9.58951572,9.33776743,9.269934435,8.536816839,8.228443044,6.666905086,5.498696896,3.918267523,2.167545302
CA, Sacramento County ,16.01704148,12.08285522,11.91318898,11.14012394,11.04577547,11.02279809,9.711126834,9.122759765,9.466179206,9.441992445,8.438711746,7.038317717,5.458681238,5.205397449,3.788552753,1.536771604
CA, San Benito County ,3.718785445,12.81018959,7.265329846,10.86995906,9.11593648,10.97955972,20.32370113,9.246930019,7.370962095,9.185098097,1.800050401,7.12263395,0,3.480016008,1.721229646,1.710191028
CA, San Bernardino County ,10.41886758,11.01815098,8.723235087,9.262694903,9.215061096,9.15673658,7.699555249,7.027544461,7.186579064,6.90182526,5.779888144,5.477606044,4.621501439,4.07098846,2.991545323,1.083604823
CA, San Diego County ,14.46576071,12.96315398,11.51583168,11.21898568,12.15014162,11.33279449,10.89136491,9.140577375,8.834869343,8.068723309,7.086838903,6.718264637,6.47490675,4.567459986,3.743645009,1.610822294
CA, San Francisco County ,11.826941,12.1659954,12.03536067,10.18064112,9.457196335,9.698354949,11.57874195,11.30127794,8.342265456,8.729028509,6.577592006,4.903931973,5.670739947,4.051091412,3.17488688,1.392104909
CA, San Joaquin County ,11.79816336,12.17847556,11.00090142,12.60414373,12.28810791,10.04589146,8.297978914,8.382229673,8.337154529,5.016702669,6.837557101,7.050937991,5.566569751,6.540919852,5.04754507,0.829306589
CA, San Luis Obispo County ,15.73602218,13.5209296,12.64407329,11.38710665,11.29098823,14.69365659,9.980882771,12.1779503,11.26303697,16.40903243,9.262381025,11.43169012,5.464739678,5.793092461,5.020134324,1.423690205
CA, San Mateo County ,10.87847193,14.17191382,14.47762991,15.2945573,13.90979786,13.33182626,9.997449926,11.67400976,8.240626288,10.08944574,8.195184287,9.054503998,6.351505847,5.340796206,2.906903764,1.965431982
CA, Santa Barbara County ,17.25043126,18.35481343,15.5487218,12.29074998,12.030917,12.98768131,12.0073024,9.240278862,11.0614415,6.423127064,9.189530533,10.79817276,7.663048779,5.048187242,3.858786571,2.253191082
CA, Santa Clara County ,9.495847644,10.24831732,9.225158565,9.317188349,9.259442978,8.953556114,8.337477434,7.826983936,6.433217459,5.438671333,6.212789727,4.743864418,5.220262449,4.070786696,3.016153885,1.413534858
CA, Santa Cruz County ,12.89893877,12.49780312,12.17926304,10.27582691,11.09543661,10.34303059,12.32036119,9.869563844,5.067830968,9.615051787,9.875792912,7.927639526,6.005217032,3.718190877,1.845215909,1.827305054
CA, Shasta County ,29.33716346,19.22984472,21.15183492,20.20761885,25.16198025,25.62423483,17.02939273,21.52389152,18.05390218,18.05064334,9.587187007,10.11446199,7.28577033,9.493918308,8.902886204,2.230885494
CA, Sierra County ,27.9798545,28.42524161,0,0,0,0,29.20560748,29.64719834,0,0,31.05590062,32.19575016,32.50975293,0,0,0
CA, Siskiyou County ,22.61522457,22.77489296,36.39258501,29.3539865,22.52556652,29.12121144,26.97417223,22.48959856,29.03081733,20.09466821,8.90154887,11.19244286,4.530319161,4.583791713,6.900358819,9.198997309
CA, Solano County ,11.33575499,9.648473933,12.00315512,9.059545701,11.23867276,12.24946776,8.569987414,7.348564458,7.579981026,7.799361427,5.796625398,6.242706838,6.430393373,7.075938977,3.957160249,1.611711154
CA, Sonoma County ,19.33013481,15.90395729,14.39937416,17.57812081,14.99542639,17.38428718,16.33748076,9.414664624,13.10530109,12.30502274,9.28185274,9.433169073,6.319965587,9.097212816,4.407333803,2.991181995
CA, Stanislaus County ,13.79399338,7.978247416,10.47188404,12.10611523,10.14995544,10.79956802,11.69124801,8.270419074,6.875795628,6.842138188,6.791606351,5.018597765,7.480435783,5.717073468,4.152870955,2.054596225
CA, Sutter County ,12.62753814,9.982779705,15.82239965,9.448335321,15.03168216,5.632914245,6.585301607,11.83317376,7.458313356,8.477629655,10.54785562,8.455408291,6.358491766,6.329047162,3.150069302,1.041905437
CA, Tehama County ,24.92433683,24.69789186,34.8553503,17.08583926,18.46536066,21.45143725,14.61347362,6.436352519,11.17354105,15.90052631,12.5843545,15.80927688,11.08770374,11.14028806,14.34125821,4.756393385
CA, Trinity County ,23.11248074,23.32996345,15.30924679,15.14004542,22.79808496,29.76190476,14.66920933,21.98124267,43.93673111,21.7991571,14.52960407,0,14.81481481,7.446016381,7.621370322,7.65228038
CA, Tulare County ,10.57980018,10.71894654,6.586435105,11.8330105,9.793433879,9.069294311,9.399379641,9.001752973,8.153129754,6.178673507,5.416592377,4.917475815,5.990667871,2.867516334,0.876971816,1.091136047
CA, Tuolumne County ,27.44337517,14.47885183,32.22918532,23.0035567,31.80099643,35.21870818,19.40719831,17.74969382,19.53125,26.86005909,28.99496213,10.95910428,3.694535782,11.12347052,13.00462593,5.595449035
CA, Ventura County ,12.16117255,13.95611519,14.49667667,10.65895162,11.96482593,12.3395077,9.897479651,9.374683604,9.673182837,7.360789077,5.573595696,5.778210609,5.871645822,4.407395848,4.028063757,1.651490647
CA, Yolo County ,11.18732888,11.97693584,9.42731815,12.02488057,12.41652586,10.7371597,8.43815099,6.68934182,10.14435416,8.508891792,4.474895834,5.935686833,5.855686604,3.87062438,2.874430503,1.413747279
CA, Yuba County ,16.56397005,9.796078303,12.88244767,6.376229417,12.55059458,12.06909557,5.774338838,11.30566272,6.966407981,6.982557571,8.293478561,8.270386503,4.115169888,6.827523111,1.355454348,0
CT, Fairfield County ,21.48436617,19.12125462,18.479113,17.29250665,15.93364473,16.71024327,15.84372287,13.92760764,14.27269026,11.64296518,10.87251971,8.504774516,9.73333861,7.441892112,5.08643765,2.222989095
CT, Hartford County ,22.83275242,16.69423921,17.75316416,19.8091225,18.98338268,15.60220526,15.31831458,17.29696975,16.3308334,14.35513482,15.07726259,10.92461237,9.80588799,9.35686064,6.136625838,3.464879534
CT, Litchfield County ,20.26320257,20.63893807,16.66899674,22.94263275,19.08791576,24.34996189,15.28874643,17.90736625,16.3007756,15.261953,14.75462531,16.40489395,12.26751721,8.031698436,3.241315974,3.808984851
CT, Middlesex County ,25.70809741,24.83981504,17.58937602,18.02765069,24.15608548,21.57949578,15.29304533,17.66902863,14.54880518,14.49214103,20.52755825,15.03985562,11.47953019,9.684116234,3.038497767,3.056664445
CT, New Haven County ,22.54788698,21.32851333,17.36321083,20.78535381,20.1301354,19.47679428,20.46560426,16.9869189,14.94241334,16.04604517,14.82373651,10.64803723,10.76168424,10.54813194,4.991097275,4.074159006
CT, New London County ,15.7784551,21.42343418,20.77839651,18.38069802,18.61538748,15.94576955,14.77028514,16.2560175,16.13885282,15.34919417,10.58116115,15.37188994,9.115205256,8.412428449,6.248782406,1.847479484
CT, Tolland County ,17.53578396,15.11509062,13.34625813,15.15203692,11.58780145,11.51316903,13.42696403,12.02260249,11.21497793,7.877634084,7.179500568,4.572384106,6.578687683,5.925691825,4.612606914,1.977795944
CT, Windham County ,21.06516463,25.48466369,12.60375592,9.76449806,11.37198642,7.783043343,12.84488517,11.08798744,15.26872964,16.93308047,10.11864107,10.13299557,6.779948303,8.498487269,5.131757884,1.715045234
GA, Appling County ,0.057937249,0.056852142,0.074351985,0.054851526,0.053690968,0.105239987,0.017098594,0.016727569,0.032892124,0,0.064411305,0.01599394,0,0.015812779,0,0.015559412
GA, Atkinson County ,5.748447919,11.45803495,0,0,16.91093574,22.51111486,11.28349788,5.560189046,5.514807257,0,5.456728146,0,0,0,0,0
GA, Bacon County ,13.17349493,26.17458448,25.81311306,12.51564456,0,12.35177866,12.19958521,0,11.95314368,11.9246363,11.96172249,11.96029183,0,12.10653753,12.19066195,0
GA, Baker County ,0,0,0,9.753242953,0,0,0,9.117432531,0,0,9.024456277,0,8.938148016,0,8.918219923,0
GA, Baldwin County ,49.68944099,249.6878901,203.9255672,72.74490786,149.1053678,75.62389715,128.9656951,188.8828926,53.64806867,140.4494382,116.4822365,120.5182284,29.71768202,120.5182284,61.38735421,63.29113924
GA, Banks County ,4.475875034,4.467875972,4.424485101,4.402086589,0,4.319281272,2.149936577,4.225114078,2.089645805,0,2.188471134,2.216410302,0,2.167175953,2.181548463,0
GA, Barrow County ,20.62706271,53.24459235,38.74717469,31.5736297,43.07692308,29.97062878,46.84937925,17.09401709,22.28039882,27.46045694,54.32420687,16.3621489,27.4228048,16.39433849,0,5.414771497
GA, Bartow County ,21.4961307,26.98719146,7.935090956,17.22389145,14.53699666,6.909775605,13.03037707,15.44163064,8.907098958,14.58831768,8.609062473,11.45147438,9.977052779,11.21626358,10.96160697,2.662867642
GA, Ben Hill County ,5.207926464,1.25025005,1.203282555,4.665756844,4.554045131,2.214005801,4.301861631,2.089558476,0,3.005801196,3.99460728,0.997038795,0.995143699,0,1.967051881,1.950591517
GA, Berrien County ,11.43968426,11.5506786,17.46419839,35.09798187,29.22951011,5.799454851,11.41226819,5.643659349,5.657708628,0,17.00873115,11.37980085,0,0,5.733944954,0
GA, Bibb County ,135.2348168,122.0107369,95.97504649,111.6530528,137.938962,118.4099239,55.39859288,109.5590249,53.01383661,62.93596266,77.54743318,51.60757599,73.06889353,57.82777836,42.57583821,36.90815143
GA, Bleckley County ,0.649954178,0.651262146,0.649650163,0.650630787,0.648680907,0.649338,0.6472073,0,0.647735517,0.644520928,1.28545444,0,0.640249954,0.646972814,0,0
GA, Brantley County ,25.74223443,0,0,8.469551961,16.64170411,8.246062505,7.966223214,15.36570375,38.50596843,15.34448366,38.34649896,0,15.49306685,7.836990596,0,7.823501799
GA, Brooks County ,34.01360544,26.50235208,19.28516328,6.284960091,18.49340402,6.047777442,5.91891092,17.44388882,11.36815779,11.0320481,16.25487646,5.385029618,10.7880684,5.470459519,16.3132137,10.84069597
GA, Bryan County ,30.38036213,6.132335807,18.48542732,12.46028285,18.6023439,6.201935004,12.26316758,18.36772179,0,18.32061069,12.29785402,18.75586121,31.95296524,0,0,12.74534795
GA, Bulloch County ,12.78009713,20.94942808,24.61336506,31.91192309,23.02290779,18.8274278,21.94105171,21.1999152,13.7089588,13.33911362,19.74853532,22.40573587,12.39464551,12.07729469,2.954471593,5.705808513
GA, Burke County ,1.78107078,3.520630897,5.230034344,10.11565566,3.287743293,6.344372542,4.665339637,7.60248145,2.980981339,2.915536896,2.833663927,4.129216963,2.73365955,0,2.749707844,0
GA, Butts County ,17.9541272,13.28491719,13.25908247,22.03419707,13.11934228,13.07816383,13.1147541,4.353125544,4.332004852,12.97746247,4.284857314,8.487163166,17.29281051,13.09014748,8.807080893,8.794301293
GA, Calhoun County ,5.096580195,4.953928465,4.763492593,4.642525534,13.8210633,4.534119247,4.4113106,0,4.202740187,8.445232666,4.211767679,0,0,0,0,0
GA, Camden County ,94.86166008,47.83926009,47.17722912,95.45020681,63.43165239,47.95396419,47.24409449,31.90301483,92.93680297,119.94003,59.66587112,61.12469438,30.82139004,15.35390757,31.13809746,0
GA, Candler County ,4.563709383,0,0,0,4.33877126,2.142566366,0,0,2.011546276,3.998080921,0,3.974325855,0,0,0,1.903203091
GA, Carroll County ,156.4945227,180.0466003,133.033156,90.57059475,129.4949696,59.06674542,144.3973816,113.3572643,84.18295763,101.1029412,72.62823423,97.91703756,116.8434298,36.52634463,55.10653931,9.144947417
GA, Catoosa County ,3.411727244,12.07040337,7.439922625,2.053472422,4.009060477,6.82753643,8.502357042,4.5893875,4.535476497,3.622105711,2.710076063,0.903293408,4.486558271,5.34126214,3.507172167,0.871923201
GA, Charlton County ,3.73489701,1.830228046,1.784949307,3.471378484,0,0,1.636795155,4.797006668,0,3.13116448,0,3.083374445,3.076733739,1.53038581,7.623694442,1.517519766
GA, Chatham County ,320.0155159,271.6627635,311.6406966,257.0466229,272.4556161,249.2479587,223.3435354,215.6602522,95.20787052,189.4986182,147.9981305,193.5531899,127.5127513,68.79156157,38.6966953,46.1219156
GA, Chattahoochee County ,0,0,0,0.842644556,0,0,0,0.396855318,0,0,0.75217944,0.367832327,0,0,0,0
GA, Chattooga County ,0,19.01140684,5.542315579,26.16260056,12.89075089,21.28263337,16.90902942,16.71541997,25.80867171,33.45880385,8.946144212,44.18132014,23.74920836,0,8.364001338,8.724480893
GA, Cherokee County ,59.01097604,46.73807205,42.82155092,73.1303645,54.82241454,47.04775347,50.70202808,72.43614182,57.37015222,46.34278211,65.49545384,70.08527041,50.72378946,47.91375524,36.21876132,32.15175629
GA, Clarke County ,6.955215368,4.629966466,4.4113384,6.039194371,5.776840646,6.039708337,6.209862296,2.962319299,2.400718295,1.884729918,3.252848566,1.377809008,1.811692664,0.890944,2.60215632,1.697728015
GA, Clay County ,0.976552963,0,0,0,0,0,0,1.754462915,2.591389676,0,0,0,0,0,0,0
GA, Clayton County ,0.750948328,0.805512119,0.565352975,0.428848153,0.457692686,0.580315879,0.377050211,0.677903638,0.636946153,0.389537852,0.444253317,0.203934479,0.11437787,0.339374962,0.334345937,0.054836617
GA, Clinch County ,29.82403817,59.52380952,0,60.55101423,30.93102382,31.09452736,0,30.65603924,61.86204763,93.72071228,63.27111674,0,0,0,0,64.93506494
GA, Cobb County ,23.52160417,20.78858014,20.08403159,22.95838595,16.05815402,21.85007726,19.72523902,21.88595498,21.74750762,18.84129859,18.08951616,11.79958968,9.771754368,10.20145994,6.353335127,3.655411654
GA, Coffee County ,73.19572537,43.47196059,43.66812227,43.27131112,29.0149427,71.96315486,43.93673111,29.24831822,43.22143783,29.4160906,29.50287653,59.28560842,59.41770648,73.55104442,29.30832356,0
GA, Colquitt County ,21.28112364,13.03780965,20.62334047,5.104254396,20.31333316,15.06440031,19.65505381,9.685464539,4.783201397,4.751835396,7.022143158,11.63304716,9.272137228,4.640801931,2.331491455,2.321747812
GA, Columbia County ,9.492168961,26.05215167,28.1888654,23.49955351,20.93656222,20.93364036,11.4416476,20.35784569,20.05705117,19.93267186,19.7191122,21.81500873,17.32989624,12.95896328,4.339806879,6.556660474
GA, Cook County ,5.547050079,2.161297643,2.087290488,2.025090876,0.971496299,3.756679846,1.80432135,2.607018093,2.553104575,0.826104915,0.80008961,0.776596488,0,0.734268302,0,0
GA, Coweta County ,37.84295175,44.06672962,87.58210823,43.58655044,73.76444554,72.43315024,66.17735531,59.35422602,82.02964786,52.58852402,23.24365158,58.81315062,53.2292406,29.30660571,17.34505088,11.70617501
GA, Crawford County ,0,2.136135944,3.086705559,1.992389074,0,0.922756088,2.637385823,0,0,2.3904192,2.345545809,2.31787312,0.764566911,0,0.738361576,0
